complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.5886030128116315,0.10781943201157207,0.5114857324314745,(b/((e1)**(0.5))),[div b sqrt e1],1.0,2.0350165893009433
5,5,0.6599225723283528,0.07949562663274118,0.7344357275242466,(f/(e2-a)),[div f sub e2 a],-20.96493526302814,1.0
6,6,0.6880302308395768,0.06994608387058664,0.7944062152116773,tanh((((((a-e2))**(0.5)))**(-1))),[tanh inv sqrt sub a e2],5.499543348726505,1.0
7,7,0.6882399263891856,0.06987777136060179,0.7948076034921945,tanh((((b/(a-e2)))**(0.5))),[tanh sqrt div b sub a e2],5.547021360213104,-1.0228535043168416
9,9,0.6988410661234703,0.06647766352153911,0.8142902664413336,(f/(((b/e2)+e2)+a)),[div f add add div b e2 e2 a],16.001430886476623,4.607761562306931
10,10,0.7387211840676889,0.05456096707649074,0.8749028856361538,(f/((((e2*(a-b))+a))**(0.5))),[div f sqrt add mul e2 sub a b a],659.4121079019113,768.4043325270727
18,18,0.7773780538704804,0.04417678561136588,0.9179891339578632,(((f/((((((((((e2)**(2))+a)/u1)/b)/e1)/b)/b))**(0.5))))**(2)),[n2 div f sqrt div div div div div add n2 e2 a u1 b e1 b b],152.35701474368372,0.2905029816304522
19,19,0.7773780538949483,0.04417678560512005,0.9179891339810531,(((f/((((((((((e2)**(2))+a)/exp(b))/u1)/b)/e1))**(0.5))/b)))**(2)),[n2 div f div sqrt div div div div add n2 e2 a exp b u1 b e1 b],152.35820918184783,0.26586632555719664
20,20,0.7892327186207828,0.041196140067822164,0.9286824812234051,(((f/(((((((((((e2)**(2))+a)+u1)+e1)/b)/e1)/u1)/b))**(0.5))))**(2)),[n2 div f sqrt div div div div add add add n2 e2 a u1 e1 b e1 u1 b],143.7893231899959,0.16499424286844167
21,21,0.798396046214559,0.03895283587601283,0.9362380874981477,tan(((((f/((((((((((e2)**(2))+a)/u1)/b)/e1)/b)/b))**(0.5)))+b))**(2))),[tan n2 add div f sqrt div div div div div add n2 e2 a u1 b e1 b b b],111.57165294262732,0.20208226283880804
23,23,0.8019429318665267,0.038098273517107165,0.939005066278072,(tan((f/((((((((((e2*e2)+a)/u1)/u1)/b)/e1)/b)/b))**(0.5))))*b),"[mul tan div f sqrt div div div div div div add mul e2 e2 a u1 u1 b e1 b b
 b]",123.97032785804599,0.32557876906381206
