complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.5298067851483125,0.10537643456219799,0.21237828082747257,expneg(exp(tanh(u2))),[expneg exp tanh u2],1.0,1.0
5,5,0.5435575496683391,0.09970688632070082,0.2948508416404567,((e2*a)-b),[sub mul e2 a b],-0.0020065501857766937,-0.28858186226852345
6,6,0.5572529729611517,0.0943382721708002,0.36874254645373616,(b*tanh((a/e2))),[mul b tanh div a e2],32.25505207908739,0.2827181079766184
8,8,0.5678723865116297,0.09035369679438411,0.4209413731947196,((((e2)**(0.5))/(b+e2))-a),[sub div sqrt e2 add b e2 a],-0.06183050596223764,3.9841736319367467
11,11,0.621306128308394,0.07237145399355102,0.6284944727870703,((e2/((e2*e2)+(a+e2)))*b),[mul div e2 add mul e2 e2 add a e2 b],26.623558482191306,5.994463260951268
12,12,0.636938660894625,0.06768104457718925,0.6750887198036448,expneg(log(((((b/e2))**(0.5))+((e2/b)*a)))),[expneg log add sqrt div b e2 mul div e2 b a],2.057339365182192,15.744243986985364
14,14,0.6387182006823484,0.06716166429439495,0.6800562853991208,(((e2/(((e2-b)-((b*e2)*e2))-a)))**(0.5)),[sqrt div e2 sub sub sub e2 b mul mul b e2 e2 a],22.12183619453528,-0.7135308537187179
15,15,0.6432653132453974,0.06584758691910732,0.6924537669345807,(log(expneg((e2-a)))/((((b*e2)/a)/b)+b)),[div log expneg sub e2 a add div div mul b e2 a b b],-1.2135208912685316,-8.54213705680973
