epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,a,b,overall_best_prog_prefix,a,b
0,0.192042056128946,0.5077290313726472,0.5408443167067629,0.5408443167067629,11.0,8.756,0.14030019137945177,1000,996,logabs((((b*e2)*(u1/d))+log(a))),logabs((((b*e2)*(u1/d))+log(a))),[logabs add mul mul b e2 div u1 d log a],3.7742587141343553,-0.0018860923074108756,[logabs add mul mul b e2 div u1 d log a],3.7742587141343553,-0.0018860923074108756
1,0.18353753086364225,0.5019244687930212,0.5408443167067629,0.5288894012684572,7.0,8.878,0.010300594875240633,1000,995,((expneg(u2)+((0.0209)**(2)))/b),logabs((((b*e2)*(u1/d))+log(a))),[div add expneg u2 n2 0.0209 b],1.0,2.7655209207935507,[logabs add mul mul b e2 div u1 d log a],3.7742587141343553,-0.0018860923074108756
2,0.18799609395381828,0.5050186409973467,0.5408443167067629,0.529830727782347,9.0,8.673,0.07701268536626792,1000,995,expneg(exp(tanh((expneg((a/u1))+u2)))),logabs((((b*e2)*(u1/d))+log(a))),[expneg exp tanh add expneg div a u1 u2],8.75941750238878,1.0,[logabs add mul mul b e2 div u1 d log a],3.7742587141343553,-0.0018860923074108756
3,0.20771008216239487,0.5075173679392883,0.5408443167067629,0.5309137666638318,13.0,8.617,0.1690737596240543,1000,996,log((expneg((b*(log(((tanh(u2))**(0.5)))-exp(a))))-b)),logabs((((b*e2)*(u1/d))+log(a))),[log sub expneg mul b sub log sqrt tanh u2 exp a b],0.12455369205515611,0.25854239945257995,[logabs add mul mul b e2 div u1 d log a],3.7742587141343553,-0.0018860923074108756
4,0.2113003609051204,0.5060453389030765,0.5408443167067629,0.5309115670724104,14.0,8.655,0.11347485487899141,1000,992,logabs((logabs(((a/u2)+(((0.0209)**(2))+(u2/0.0209))))*b)),logabs((((b*e2)*(u1/d))+log(a))),[logabs mul logabs add div a u2 add n2 0.0209 div u2 0.0209 b],204.6419702692215,0.20119468922217043,[logabs add mul mul b e2 div u1 d log a],3.7742587141343553,-0.0018860923074108756
5,0.2094380558134704,0.5101764772776256,0.5408443167067629,0.5309013713999317,5.0,8.91,0.22387742710698982,1000,990,((tanh(expneg(((u2)**(0.5)))))**(2)),logabs((((b*e2)*(u1/d))+log(a))),[n2 tanh expneg sqrt u2],1.0,1.0,[logabs add mul mul b e2 div u1 d log a],3.7742587141343553,-0.0018860923074108756
6,0.21665424426772759,0.5092778820744482,0.5408443167067629,0.5311976760900546,8.0,8.891,0.19791794096431442,1000,996,(a-tanh((d*(b+u2)))),logabs((((b*e2)*(u1/d))+log(a))),[sub a tanh mul d add b u2],1.0488852961333077,0.732025089783314,[logabs add mul mul b e2 div u1 d log a],3.7742587141343553,-0.0018860923074108756
7,0.23625162085025433,0.5153072450404893,0.545817238495675,0.545817238495675,6.0,8.845,0.3590527533088072,1000,998,(((b-(a*e2)))**(0.5)),(((b-(a*e2)))**(0.5)),[sqrt sub b mul a e2],0.0009108052905529735,0.08226839569185554,[sqrt sub b mul a e2],0.0009108052905529735,0.08226839569185554
8,0.23690766317309242,0.5168571302436262,0.545817238495675,0.5314557158579034,13.0,8.623,0.40396837712563477,1000,992,((((((exp(exp(expneg((u2*((u2)**(0.5)))))))**(0.5))/b)+a))**(2)),(((b-(a*e2)))**(0.5)),[n2 add div sqrt exp exp expneg mul u2 sqrt u2 b a],0.008799227190419945,6.234286736165468,[sqrt sub b mul a e2],0.0009108052905529735,0.08226839569185554
9,0.259301464047005,0.5257100958913732,0.545817238495675,0.5314258648953936,13.0,8.679,0.19097589760615358,1000,991,(((expneg(expneg(((((exp(logabs(b)))**(2))/u2)+a)))*u2))**(0.5)),(((b-(a*e2)))**(0.5)),[sqrt mul expneg expneg add div n2 exp logabs b u2 a u2],-1.90447936122985,-0.692419455033892,[sqrt sub b mul a e2],0.0009108052905529735,0.08226839569185554
10,0.28733855525686375,0.527618854010583,0.545817238495675,0.5312336097505479,9.0,8.415,0.16945672168848633,1000,989,(((exp((b+a))/(u2+a)))**(2)),(((b-(a*e2)))**(0.5)),[n2 div exp add b a add u2 a],0.9520443620531694,-1.374763971311336,[sqrt sub b mul a e2],0.0009108052905529735,0.08226839569185554
11,0.2948426525223679,0.5280682720882617,0.545817238495675,0.5333692050137157,17.0,8.284,0.11806801559652852,1000,991,(tanh(((((((b/(u2+(e1*u2)))/b)*b)/a))**(0.5)))/b),(((b-(a*e2)))**(0.5)),[div tanh sqrt div mul div div b add u2 mul e1 u2 b b a b],-0.10743081258067698,3.5141589163547766,[sqrt sub b mul a e2],0.0009108052905529735,0.08226839569185554
12,0.3255534289773522,0.5293715718269237,0.545817238495675,0.5442855360623823,14.0,8.707,0.0031367864132432685,1000,993,tanh(log(((log(a)+(((e2*b)/a)+a))+b))),(((b-(a*e2)))**(0.5)),[tanh log add add log a add div mul e2 b a a b],1.1805799202650298,-0.0030320151495996117,[sqrt sub b mul a e2],0.0009108052905529735,0.08226839569185554
