complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.5129038007353905,2.280244824621929,0.0981015363825688,(a*tanh(sqrt_eu1)),[mul a tanh sqrt_eu1],-20.602830965378153,1.0
6,6,0.5196744694263654,2.2192536609469085,0.1457035932905888,(b*tanh((a*sqrt_eu1))),[mul b tanh mul a sqrt_eu1],4.486674766044607,-6.506045544019789
8,8,0.525892089079969,2.1646277380102132,0.18724223332077505,(b*tanh(((sqrt_eu1*a)*sqrt_eu1))),[mul b tanh mul mul sqrt_eu1 a sqrt_eu1],67.89214472850217,-4.919921320590405
10,10,0.5332361349958532,2.1017463920832453,0.23377677660255047,(a*tanh(((sqrt_eu1*(sqrt_eu1*b))*sqrt_eu1))),[mul a tanh mul mul sqrt_eu1 mul sqrt_eu1 b sqrt_eu1],-4.928407554992561,543.0076750292711
