epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,a,b,overall_best_prog_prefix,a,b
0,0.33060002696853696,0.5057547501487754,0.5179449603380331,0.5179449603380331,6.0,5.56,0.028427447044590142,1000,1000,(b*tanh((a*d))),(b*tanh((a*d))),[mul b tanh mul a d],0.6058359726577651,-7.5554457880857715,[mul b tanh mul a d],0.6058359726577651,-7.5554457880857715
1,0.33130260287441454,0.50651497099005,0.521206041662083,0.521206041662083,10.0,5.653,0.04514211073205085,1000,1000,(b*(tanh(((a*sqrt_eu1)*sqrt_eu1))*sqrt_eu2)),(b*(tanh(((a*sqrt_eu1)*sqrt_eu1))*sqrt_eu2)),[mul b mul tanh mul mul a sqrt_eu1 sqrt_eu1 sqrt_eu2],33.007039163094746,-0.7976949473808881,[mul b mul tanh mul mul a sqrt_eu1 sqrt_eu1 sqrt_eu2],33.007039163094746,-0.7976949473808881
2,0.34183883154843325,0.5118390342534692,0.525892089079969,0.525892089079969,10.0,5.478,0.06925900946179714,1000,1000,(tanh((sqrt_eu1*((sqrt_eu1*1.0)*b)))*a),(tanh((sqrt_eu1*((sqrt_eu1*1.0)*b)))*a),[mul tanh mul sqrt_eu1 mul mul sqrt_eu1 1.0 b a],-4.919921320590405,67.89214472850217,[mul tanh mul sqrt_eu1 mul mul sqrt_eu1 1.0 b a],-4.919921320590405,67.89214472850217
3,0.34605357269062337,0.5076550717709968,0.525892089079969,0.5196744694263654,6.0,5.514,0.04415337761496838,1000,1000,(a*tanh((b*sqrt_eu1))),(tanh((sqrt_eu1*((sqrt_eu1*1.0)*b)))*a),[mul a tanh mul b sqrt_eu1],-6.506045544019791,4.486674766044604,[mul tanh mul sqrt_eu1 mul mul sqrt_eu1 1.0 b a],-4.919921320590405,67.89214472850217
4,0.34562879589758755,0.5112766714321417,0.525892089079969,0.5196744694263654,6.0,5.452,0.06877580122222714,1000,1000,(a*tanh((sqrt_eu1*b))),(tanh((sqrt_eu1*((sqrt_eu1*1.0)*b)))*a),[mul a tanh mul sqrt_eu1 b],-6.506045544019791,4.486674766044604,[mul tanh mul sqrt_eu1 mul mul sqrt_eu1 1.0 b a],-4.919921320590405,67.89214472850217
5,0.34718852250304816,0.5118200518541083,0.525892089079969,0.525892089079969,8.0,5.395,0.03207201815318528,1000,1000,(b*tanh(((sqrt_eu1*sqrt_eu1)*a))),(tanh((sqrt_eu1*((sqrt_eu1*1.0)*b)))*a),[mul b tanh mul mul sqrt_eu1 sqrt_eu1 a],67.89214472850217,-4.919921320590404,[mul tanh mul sqrt_eu1 mul mul sqrt_eu1 1.0 b a],-4.919921320590405,67.89214472850217
6,0.35741439648667594,0.5127607769679046,0.525892089079969,0.5196744694263654,6.0,5.347,0.00029251240335118403,1000,1000,(b*tanh((sqrt_eu1*a))),(tanh((sqrt_eu1*((sqrt_eu1*1.0)*b)))*a),[mul b tanh mul sqrt_eu1 a],4.486674766044607,-6.506045544019789,[mul tanh mul sqrt_eu1 mul mul sqrt_eu1 1.0 b a],-4.919921320590405,67.89214472850217
7,0.35604993165951127,0.5134744649757245,0.525892089079969,0.525892089079969,8.0,5.156,-0.003392796494879712,1000,1000,(a*tanh(((b*sqrt_eu1)*sqrt_eu1))),(tanh((sqrt_eu1*((sqrt_eu1*1.0)*b)))*a),[mul a tanh mul mul b sqrt_eu1 sqrt_eu1],-4.919921320590405,67.89214472850217,[mul tanh mul sqrt_eu1 mul mul sqrt_eu1 1.0 b a],-4.919921320590405,67.89214472850217
8,0.35720977302169776,0.5133417408286547,0.525892089079969,0.525892089079969,8.0,4.947,-0.004544506219456476,1000,1000,(b*tanh((sqrt_eu1*(sqrt_eu1*a)))),(tanh((sqrt_eu1*((sqrt_eu1*1.0)*b)))*a),[mul b tanh mul sqrt_eu1 mul sqrt_eu1 a],67.89214472850217,-4.919921320590405,[mul tanh mul sqrt_eu1 mul mul sqrt_eu1 1.0 b a],-4.919921320590405,67.89214472850217
9,0.36028141224737087,0.5135245006105487,0.525892089079969,0.5196744694263654,6.0,4.865,-0.00595549907415603,1000,1000,(a*tanh((b*sqrt_eu1))),(tanh((sqrt_eu1*((sqrt_eu1*1.0)*b)))*a),[mul a tanh mul b sqrt_eu1],-6.506045544019791,4.486674766044604,[mul tanh mul sqrt_eu1 mul mul sqrt_eu1 1.0 b a],-4.919921320590405,67.89214472850217
10,0.36285851800371927,0.5138406333713796,0.525892089079969,0.525892089079969,8.0,4.771,-0.008175445440731514,1000,1000,(a*tanh(((sqrt_eu1*sqrt_eu1)*b))),(tanh((sqrt_eu1*((sqrt_eu1*1.0)*b)))*a),[mul a tanh mul mul sqrt_eu1 sqrt_eu1 b],-4.919921320590405,67.89214472850217,[mul tanh mul sqrt_eu1 mul mul sqrt_eu1 1.0 b a],-4.919921320590405,67.89214472850217
11,0.36048212539742536,0.5137162809783075,0.525892089079969,0.5196744694263654,6.0,4.766,-0.010315260176843838,1000,1000,(b*tanh((a*sqrt_eu1))),(tanh((sqrt_eu1*((sqrt_eu1*1.0)*b)))*a),[mul b tanh mul a sqrt_eu1],4.486674766044607,-6.506045544019789,[mul tanh mul sqrt_eu1 mul mul sqrt_eu1 1.0 b a],-4.919921320590405,67.89214472850217
12,0.3629103285377311,0.5138516943521271,0.525892089079969,0.5196744694263654,6.0,4.804,-0.009550453661086018,1000,1000,(b*tanh((sqrt_eu1*a))),(tanh((sqrt_eu1*((sqrt_eu1*1.0)*b)))*a),[mul b tanh mul sqrt_eu1 a],4.486674766044607,-6.506045544019789,[mul tanh mul sqrt_eu1 mul mul sqrt_eu1 1.0 b a],-4.919921320590405,67.89214472850217
13,0.36639424007227456,0.5144831100587105,0.525892089079969,0.525892089079969,8.0,4.846,-0.004207765526772661,1000,1000,(b*tanh((sqrt_eu1*(sqrt_eu1*a)))),(tanh((sqrt_eu1*((sqrt_eu1*1.0)*b)))*a),[mul b tanh mul sqrt_eu1 mul sqrt_eu1 a],67.89214472850217,-4.919921320590405,[mul tanh mul sqrt_eu1 mul mul sqrt_eu1 1.0 b a],-4.919921320590405,67.89214472850217
14,0.36287367594924386,0.5133100408568491,0.525892089079969,0.5196744694263654,6.0,4.976,-0.012980743939051027,1000,1000,(b*tanh((sqrt_eu1*a))),(tanh((sqrt_eu1*((sqrt_eu1*1.0)*b)))*a),[mul b tanh mul sqrt_eu1 a],4.486674766044607,-6.506045544019789,[mul tanh mul sqrt_eu1 mul mul sqrt_eu1 1.0 b a],-4.919921320590405,67.89214472850217
15,0.3657317891003532,0.5150247635539885,0.525892089079969,0.525892089079969,8.0,5.054,-0.002065613216419482,1000,1000,(a*tanh((sqrt_eu1*(b*sqrt_eu1)))),(tanh((sqrt_eu1*((sqrt_eu1*1.0)*b)))*a),[mul a tanh mul sqrt_eu1 mul b sqrt_eu1],-4.919921320590405,67.89214472850217,[mul tanh mul sqrt_eu1 mul mul sqrt_eu1 1.0 b a],-4.919921320590405,67.89214472850217
16,0.3640603827415032,0.513582204364164,0.525892089079969,0.5196744694263654,6.0,5.172,-0.011669255238426931,1000,1000,(b*tanh((a*sqrt_eu1))),(tanh((sqrt_eu1*((sqrt_eu1*1.0)*b)))*a),[mul b tanh mul a sqrt_eu1],4.486674766044607,-6.506045544019789,[mul tanh mul sqrt_eu1 mul mul sqrt_eu1 1.0 b a],-4.919921320590405,67.89214472850217
17,0.3656130295177154,0.5141431029475382,0.525892089079969,0.525892089079969,8.0,5.255,-0.006383280327847091,1000,1000,(b*tanh((a*(sqrt_eu1*sqrt_eu1)))),(tanh((sqrt_eu1*((sqrt_eu1*1.0)*b)))*a),[mul b tanh mul a mul sqrt_eu1 sqrt_eu1],67.89214472850217,-4.919921320590404,[mul tanh mul sqrt_eu1 mul mul sqrt_eu1 1.0 b a],-4.919921320590405,67.89214472850217
18,0.36289559040349756,0.5150012343529693,0.525892089079969,0.5196744694263654,6.0,5.501,-0.0030117725228548005,1000,1000,(a*tanh((sqrt_eu1*b))),(tanh((sqrt_eu1*((sqrt_eu1*1.0)*b)))*a),[mul a tanh mul sqrt_eu1 b],-6.506045544019791,4.486674766044604,[mul tanh mul sqrt_eu1 mul mul sqrt_eu1 1.0 b a],-4.919921320590405,67.89214472850217
19,0.3689525281635591,0.5156519685250899,0.5332361349958532,0.5332361349958532,10.0,5.553,0.005615133118890971,1000,1000,(a*tanh(((sqrt_eu1*(sqrt_eu1*b))*sqrt_eu1))),(a*tanh(((sqrt_eu1*(sqrt_eu1*b))*sqrt_eu1))),[mul a tanh mul mul sqrt_eu1 mul sqrt_eu1 b sqrt_eu1],-4.928407554992561,543.0076750292711,[mul a tanh mul mul sqrt_eu1 mul sqrt_eu1 b sqrt_eu1],-4.928407554992561,543.0076750292711
20,0.36228576694409037,0.5145850281829273,0.5332361349958532,0.525892089079969,8.0,5.797,-0.0024428813905290458,1000,1000,(b*tanh(((sqrt_eu1*sqrt_eu1)*a))),(a*tanh(((sqrt_eu1*(sqrt_eu1*b))*sqrt_eu1))),[mul b tanh mul mul sqrt_eu1 sqrt_eu1 a],67.89214472850217,-4.919921320590404,[mul a tanh mul mul sqrt_eu1 mul sqrt_eu1 b sqrt_eu1],-4.928407554992561,543.0076750292711
21,0.3589877005392195,0.5157597128051022,0.5332361349958532,0.525892089079969,8.0,6.166,0.006451954239872538,1000,1000,(b*tanh(((sqrt_eu1*a)*sqrt_eu1))),(a*tanh(((sqrt_eu1*(sqrt_eu1*b))*sqrt_eu1))),[mul b tanh mul mul sqrt_eu1 a sqrt_eu1],67.89214472850217,-4.919921320590405,[mul a tanh mul mul sqrt_eu1 mul sqrt_eu1 b sqrt_eu1],-4.928407554992561,543.0076750292711
