complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.5293793462899606,0.10555739105397802,0.20967088931521438,(a/((u2)**(0.5))),[div a sqrt u2],0.1464101519743078,1.0
5,5,0.5435575496625747,0.09970688633000596,0.29485084160769004,((e2*b)-a),[sub mul e2 b a],-0.28858186226735694,-0.00200655018580539
6,6,0.557252971093245,0.09433827289163747,0.3687425368953705,(tanh((b/e2))/a),[div tanh div b e2 a],3.537152217373425,32.251779443914245
7,7,0.6178033761042556,0.07345497705888386,0.6172870671942641,(a/(e2+(b/e2))),[div a add e2 div b e2],5.661342457263701,26.71666124100287
8,8,0.6300376788449149,0.06972293025874148,0.6551883382905732,(e2/((((e2/a)+b))**(2))),[div e2 n2 add div e2 a b],2.9929380348326875,1.7197309999447847
9,9,0.6407359547287094,0.0665762484199017,0.6856095673318947,(((e2/((((e2+a))**(2))+b)))**(0.5)),[sqrt div e2 add n2 add e2 a b],-3.583382864668768,13.829534684129158
14,14,0.6480899063003281,0.06447348181448666,0.705155566953068,((((((a+(b/((a/((e2)**(2)))+a)))+e2))**(-1)))**(0.5)),[sqrt inv add add a div b add div a n2 e2 a e2],50.13822018908508,-2765.795867776292
21,21,0.6615227481820795,0.060753228431699,0.7382001423164981,(((f/((((((((a*e2)*((e2)**(2)))+a)/a)+a)/b)/a)/e2)))**(0.5)),[sqrt div f div div div add div add mul mul a e2 n2 e2 a a a b a e2],549.5632173487426,-0.005605244793336303
