complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.7169805934187066,0.07220826329244279,0.8441819982377179,(((e2+a))**(-1)),[inv add e2 a],1.905740434715539,1.0
5,5,0.7635876543058983,0.05663557817632387,0.9041432924331994,expneg(expneg((e2*b))),[expneg expneg mul e2 b],1.0,-0.07910279986794418
6,6,0.7742091364102222,0.05334898449491192,0.9149457253827273,(b/(a+((e2)**(3)))),[div b add a n3 e2],346.10443312724357,128.19571880046112
7,7,0.7809393999180698,0.051312718417525265,0.9213146506674816,expneg((b+(((e2)**(3))*a))),[expneg add b mul n3 e2 a],0.0011170388385129957,0.9997736837381954
8,8,0.7814641910541438,0.05115541499969653,0.9217963441997745,expneg(expneg(((((e2+a))**(2))*a))),[expneg expneg mul n2 add e2 a a],-0.007366086548496061,1.0
9,9,0.7817402466284922,0.05107275354344606,0.9220488768074959,((tanh(expneg((a*expneg((e2*b))))))**(3)),[n3 tanh expneg mul a expneg mul e2 b],0.08471674526141564,-0.19679180183548228
12,12,0.7915166743697344,0.04818250135048192,0.9306218818558123,tanh((f*((((expneg((((b+(e2*a)))**(2))))**(2)))**(2)))),[tanh mul f n2 n2 expneg n2 add b mul e2 a],0.019495587914984423,0.8847494886453332
13,13,0.8063137891910408,0.04394127966775598,0.9422982171732366,(f*sin(expneg((((a)**(2))+(e2*(e2*((b)**(2)))))))),[mul f sin expneg add n2 a mul e2 mul e2 n2 b],1.8197012540728392,0.10919685164657603
17,17,0.820479020121788,0.04002449067126561,0.9521264691840001,tan((f*expneg(((((((e2*e2)*e2)*b)+a)+u2)+b)))),[tan mul f expneg add add add mul mul mul e2 e2 e2 b a u2 b],3.07275547851432,0.0009444305214676599
20,20,0.8216193034452521,0.03971506756431165,0.9528638136057326,(f*expneg(((((((e2*((e2+e2)*e2))*a)-a)*u2)+b)+u2))),[mul f expneg add add mul sub mul mul e2 mul add e2 e2 e2 a a u2 b u2],0.0016230619041331402,3.026203353497295
22,22,0.821763922504431,0.03967588562645999,0.9529567745997176,tanh((f*((expneg(((((((((e2*e2)*e2)+a)+b)+a)*a)+u2)+b)))**(2)))),"[tanh mul f n2 expneg add add mul add add add mul mul e2 e2 e2 a b a a u2
 b]",0.0004953247582785398,1.3373170607385079
23,23,0.8236118337089403,0.03917643848191495,0.9541336970951435,(f*expneg((((((((((((e2*e2)+b)+a)+a)*b))**(2))+b)*u2)+a)+u2))),"[mul f expneg add add mul add n2 mul add add add mul e2 e2 b a a b b u2 a
 u2]",3.02064130707477,0.016055488386675438
25,25,0.8249163082624236,0.03882521687248402,0.9549524048030378,(f*expneg((u2+((((((((((e2*e2)+b)*(a*a)))**(2))+a)+a)*u2)*b)+b)))),"[mul f expneg add u2 add mul mul add add n2 mul add mul e2 e2 b mul a a a
 a u2 b b]",0.09826338860920712,2.8612847489701596
30,30,0.8304112319439373,0.03735785697703827,0.9582931162710351,(f*expneg(((((((((((((e2*(e2+e2))*a)*e2)+e2)*a)*e2)+e2)*a)+u2)+a)-u1)+b))),"[mul f expneg add sub add add mul add mul mul add mul mul mul e2 add e2 e2
 a e2 e2 a e2 e2 a u2 a u1 b]",0.031347055075471884,4.1012060299903785
