complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.5861347718323083,0.10959699426986709,0.5014337144410934,exp((u2*b)),[exp mul u2 b],1.0,-3.0320827998902207
5,5,0.6630985003500315,0.07886096527319678,0.7418632743751488,(f/(e2-b)),[div f sub e2 b],1.0,-20.94058983593876
6,6,0.6781349351228699,0.07367071976978162,0.774723730582136,(tanh((b/e2))/a),[div tanh div b e2 a],2.222654172663809,15.112836217686962
7,7,0.6882465564783208,0.07030794466812348,0.794820284079667,(a/(e2+(b/e1))),[div a add e2 div b e1],7.696392607221803,365.63490820177793
9,9,0.7068892145712765,0.06436023689565018,0.8280663481701485,(f/((b*(a/e1))+e2)),[div f add mul b div a e1 e2],22.586540020868558,22.586540020868558
12,12,0.7275330600629744,0.058129725399656926,0.8597437695913315,tanh((f/((a/(b+e2))+(b*e2)))),[tanh div f add div a add b e2 mul b e2],52.13956912385742,1.6783365483398662
14,14,0.7449137735944181,0.053151826702789624,0.8827367277081246,((f/((a/exp(((e2/b)/b)))+e2))/b),[div div f add div a exp div div e2 b b e2 b],14.703549065866742,1.91010841368382
20,20,0.7516691505834846,0.051279187766073805,0.8908539822659651,((f/cosh(d))/((((((a+(a*e1))/a)+a)/e1)+b)+e2)),[div div f cosh d add add div add div add a mul a e1 a a e1 b e2],414.29238117876497,-5.634879498468282
24,24,0.754313233990808,0.05055536225257466,0.8939135118394474,sinh(((f+e2)/(((((((((a/b)/b)+b)/e2)+e2)/a)*b)*e2)+a))),"[sinh div add f e2 add mul mul div add div add div div a b b b e2 e2 a b
 e2 a]",24.44390870854981,5.014085887933918
