complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.5129038007353905,2.280244824621929,0.0981015363825688,(a*tanh(sqrt_eu1)),[mul a tanh sqrt_eu1],-20.602830965378153,1.0
6,6,0.5196744694263654,2.2192536609469085,0.1457035932905888,(a*tanh((b*sqrt_eu1))),[mul a tanh mul b sqrt_eu1],-6.506045544019791,4.486674766044604
8,8,0.525892089079969,2.1646277380102132,0.18724223332077505,(a*tanh((b*(sqrt_eu1*sqrt_eu1)))),[mul a tanh mul b mul sqrt_eu1 sqrt_eu1],-4.919921320590405,67.89214472850217
9,9,0.5277482036452646,2.148570012407727,0.19925596953953795,(b*(tanh(d)*tanh((a*sqrt_eu1)))),[mul b mul tanh d tanh mul a sqrt_eu1],7.4142783215386,-6.653349549562616
10,10,0.5332361349958533,2.1017463920832444,0.23377677660255092,(a*tanh(((sqrt_eu1*sqrt_eu1)*(sqrt_eu1*b)))),[mul a tanh mul mul sqrt_eu1 sqrt_eu1 mul sqrt_eu1 b],-4.92840755499256,543.0076750292715
12,12,0.5368804446134321,2.0711816479206577,0.2559004047490574,(a*tanh((b*(sqrt_eu1*((sqrt_eu1*sqrt_eu1)*sqrt_eu1))))),[mul a tanh mul b mul sqrt_eu1 mul mul sqrt_eu1 sqrt_eu1 sqrt_eu1],-4.937661481531768,4337.597599317602
14,14,0.5380044879246197,2.0618378762592413,0.2625990096582522,(a*tanh((((b*sqrt_eu1)*((sqrt_eu1*sqrt_eu1)*sqrt_eu1))*sqrt_eu1))),"[mul a tanh mul mul mul b sqrt_eu1 mul mul sqrt_eu1 sqrt_eu1 sqrt_eu1
 sqrt_eu1]",-4.941279261589171,34848.599076031256
15,15,0.5492303004599567,1.9706199797112194,0.3264025210055337,((tanh(d)*a)*tanh(((((sqrt_eu1*sqrt_eu1)*sqrt_eu1)*b)*sqrt_eu1))),"[mul mul tanh d a tanh mul mul mul mul sqrt_eu1 sqrt_eu1 sqrt_eu1 b
 sqrt_eu1]",-6.314700425261902,4484.792216255893
16,16,0.564920576654842,1.8491996630680572,0.4068530508119581,(sqrt_eu2*(a*tanh((((((sqrt_eu1*sqrt_eu1)*sqrt_eu1)*sqrt_eu1)*sqrt_eu1)*b)))),"[mul sqrt_eu2 mul a tanh mul mul mul mul mul sqrt_eu1 sqrt_eu1 sqrt_eu1
 sqrt_eu1 sqrt_eu1 b]",-0.7477992045895195,17508.66946512649
18,18,0.5696807796327468,1.813684880023195,0.42941762202918676,(sqrt_eu2*(a*tanh(((((((sqrt_eu1*b)*sqrt_eu1)*sqrt_eu1)*sqrt_eu1)*sqrt_eu1)*sqrt_eu1)))),"[mul sqrt_eu2 mul a tanh mul mul mul mul mul mul sqrt_eu1 b sqrt_eu1
 sqrt_eu1 sqrt_eu1 sqrt_eu1 sqrt_eu1]",-0.7424621636119741,135377.10328947598
