complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.5293793462738529,0.10555739105340411,0.2096708892130179,(((b/u2))**(0.5)),[sqrt div b u2],1.0,-0.021435699694763322
5,5,0.5310135520280306,0.10486712137670483,0.21997346477610025,(a/(b-u2)),[div a sub b u2],-0.15865585260649112,-0.2826432299105814
6,6,0.5417892672208201,0.10041983844044772,0.284730477573381,((((a*e2)+b))**(2)),[n2 add mul a e2 b],-0.0022185437681149283,0.5389366947664728
8,8,0.5438694726407589,0.09958160341882842,0.2966217851322379,tanh((a+(b+(e2*a)))),[tanh add a add b mul e2 a],-0.0021030675796113694,0.2987958751685179
9,9,0.5467743656633028,0.09842172631984486,0.31291156257534647,(((exp((a/e2))/(b-u2)))**(2)),[n2 div exp div a e2 sub b u2],-0.1151082180176993,-1.504213905683497
12,12,0.550933702742131,0.09678226456550695,0.33561129122930344,tanh((b/(((((((e2)**(0.5))-e2)*u2))**(2))-a))),[tanh div b sub n2 mul sub sqrt e2 e2 u2 a],-722.4679814798002,208.9834183391642
13,13,0.5531679626208869,0.09591177817632418,0.34750893487224266,((((b)**(0.5))/((a+a)+(((e2-u2))**(2))))*a),[mul div sqrt b add add a a n2 sub e2 u2 a],1982.5852704542772,-0.32189545565023453
14,14,0.6106228504522307,0.07571502455295322,0.5933743050123423,sin(expneg(((log(((a*log((u2+a)))-(e2*u2))))**(0.5)))),[sin expneg sqrt log sub mul a log add u2 a mul e2 u2],1.003537527660465,1.0
