complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.7660109260583698,0.15730126656728668,0.906691495531601,tanh((b/e2)),[tanh div b e2],1.0,2.178158541242742
5,5,0.7839956950995229,0.14187972361091208,0.9240902681643166,expneg((((e2/a))**(2))),[expneg n2 div e2 a],8.335251169498834,1.0
6,6,0.7971311752850526,0.13105606498348973,0.9352304264641931,expneg(((e2*a)-b)),[expneg sub mul e2 a b],0.18750797319828658,0.22505654111242931
7,7,0.7971311752863735,0.13105606498241937,0.9352304264652509,((expneg(((e2/b)+a)))**(4)),[n4 expneg add div e2 b a],-0.05626406779509653,21.332482798673443
8,8,0.8032597437995476,0.12612722346619046,0.9400106079860759,(e1/(exp((e2*a))*b)),[div e1 mul exp mul e2 a b],0.28813144179020694,16.004737232982198
12,12,0.8047659378037013,0.12492737353514795,0.9411465388469855,(expneg((b+((e2/a)-b)))*(u1+b)),[mul expneg add b sub div e2 a b add u1 b],5.269807987549153,0.10884225341213745
14,14,0.8171178593508647,0.1152545817201707,0.9499074445585038,(expneg((e2*(((((f+b)/a))**(0.5))-expneg(d))))/b),[div expneg mul e2 sub sqrt div add f b a expneg d b],33.75149045223905,0.78501165651904
19,19,0.8246106247231939,0.10952820244077394,0.9547614464957734,((expneg(((((((e2-b)+((f-a)*e2))-b)-b)-a)*b)))**(3)),[n3 expneg mul sub sub sub add sub e2 b mul sub f a e2 b b a b],6.096047037016795,0.014547812639748421
