epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,a,b,overall_best_prog_prefix,a,b
0,0.3094481224498485,0.5461199487900282,0.7607999800232844,0.7607999800232844,8.0,9.112,1.4123792107809061,1000,999,expneg((e2*(tanh(((e2)**(0.5)))*b))),expneg((e2*(tanh(((e2)**(0.5)))*b))),[expneg mul e2 mul tanh sqrt e2 b],1.0,0.14061067309548228,[expneg mul e2 mul tanh sqrt e2 b],1.0,0.14061067309548228
1,0.3233578783138776,0.5746913057616725,0.770595469568688,0.770595469568688,8.0,9.141,2.349356371773838,1000,999,tanh(((((1.0/exp(a))/e2))**(4))),tanh(((((1.0/exp(a))/e2))**(4))),[tanh n4 div div 1.0 exp a e2],-0.8172180280063451,1.0,[tanh n4 div div 1.0 exp a e2],-0.8172180280063451,1.0
2,0.3162759520335911,0.5720345531710349,0.770595469568688,0.7618752794457008,12.0,9.381,1.712215288302608,1000,994,(1.0-tanh(expneg(((((exp(((e2)**(2))))**(-1))+b)-e2)))),tanh(((((1.0/exp(a))/e2))**(4))),[sub 1.0 tanh expneg sub add inv exp n2 e2 b e2],1.0,4.0023071311401175,[tanh n4 div div 1.0 exp a e2],-0.8172180280063451,1.0
3,0.3095395928447649,0.5787834358809245,0.770595469568688,0.7672502099621354,15.0,9.324,2.124064178796191,1000,998,tanh(((((((exp((((expneg(((exp(e1))**(3)))/e1))**(4))))**(4)))**(4))+u1)/e2)),tanh(((((1.0/exp(a))/e2))**(4))),[tanh div add n4 n4 exp n4 div expneg n3 exp e1 e1 u1 e2],1.0,1.0,[tanh n4 div div 1.0 exp a e2],-0.8172180280063451,1.0
4,0.3154695493083757,0.5729672388471051,0.7842425399173554,0.7842425399173554,11.0,9.478,1.7656243188079486,1000,998,((expneg((1.0/exp(((b-log(e2))*a)))))**(2)),((expneg((1.0/exp(((b-log(e2))*a)))))**(2)),[n2 expneg div 1.0 exp mul sub b log e2 a],1.8512882924581566,2.47332771947284,[n2 expneg div 1.0 exp mul sub b log e2 a],1.8512882924581566,2.47332771947284
5,0.3157732486682618,0.5683982728415248,0.7842425399173554,0.7064444554294824,6.0,9.544,1.8335838919315324,1000,998,expneg(((logabs((e2/1.0)))**(4))),((expneg((1.0/exp(((b-log(e2))*a)))))**(2)),[expneg n4 logabs div e2 1.0],1.0,1.0,[n2 expneg div 1.0 exp mul sub b log e2 a],1.8512882924581566,2.47332771947284
6,0.31504730300704387,0.5967958588282625,0.7901344231894978,0.7901344231894978,7.0,9.803,2.4685031185668307,1000,993,expneg((e2*(a*log(e2)))),expneg((e2*(a*log(e2)))),[expneg mul e2 mul a log e2],0.0722903394362537,1.0,[expneg mul e2 mul a log e2],0.0722903394362537,1.0
7,0.305492977847977,0.6183748145303307,0.7901344231894978,0.7836489334446184,15.0,9.746,2.944063972476192,1000,989,(((((expneg(cos(((log(((a+(u2*b))+e2)))**(0.5))))-a))**(0.5)))**(4)),expneg((e2*(a*log(e2)))),[n4 sqrt sub expneg cos sqrt log add add a mul u2 b e2 a],1.452853675151045,-3.8930019321577425,[expneg mul e2 mul a log e2],0.0722903394362537,1.0
8,0.3163593004021874,0.6157130467846151,0.7901344231894978,0.7825345504045153,11.0,9.924,3.090271656473723,1000,998,(tanh((((((((e2*expneg(((a)**(4)))))**(-1)))**(3)))**(0.5)))/d),expneg((e2*(a*log(e2)))),[div tanh sqrt n3 inv mul e2 expneg n4 a d],0.9645053707325487,1.0,[expneg mul e2 mul a log e2],0.0722903394362537,1.0
9,0.31973761331646644,0.6548429724741979,0.7957035525514143,0.7957035525514143,13.0,10.615,3.5256506496521385,1000,996,((log(((exp(tanh(((expneg((e2*b)))**(0.5))))*a)/b)))**(4)),((log(((exp(tanh(((expneg((e2*b)))**(0.5))))*a)/b)))**(4)),[n4 log div mul exp tanh sqrt expneg mul e2 b a b],0.25581995346868325,0.19157151830310348,[n4 log div mul exp tanh sqrt expneg mul e2 b a b],0.25581995346868325,0.19157151830310348
