epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,a,b,overall_best_prog_prefix,a,b
0,0.17785217129849223,0.5271574226017018,0.6462760016730824,0.6462760016730824,14.0,8.672,0.6778115211955911,1000,999,((tanh(d)*log(((tanh(b)-(e2*a))*0.0209)))*a),((tanh(d)*log(((tanh(b)-(e2*a))*0.0209)))*a),[mul mul tanh d log mul sub tanh b mul e2 a 0.0209 a],-0.15913009544985796,6.612132269404607,[mul mul tanh d log mul sub tanh b mul e2 a 0.0209 a],-0.15913009544985796,6.612132269404607
1,0.1792392210424388,0.5074439178019315,0.6462760016730824,0.5836801674375648,13.0,8.675,0.12069688972842589,1000,993,((exp((log(f)-((0.0209*e1)-b)))-a)+a),((tanh(d)*log(((tanh(b)-(e2*a))*0.0209)))*a),[add sub exp sub log f sub mul 0.0209 e1 b a a],1.0,-2.652245038729568,[mul mul tanh d log mul sub tanh b mul e2 a 0.0209 a],-0.15913009544985796,6.612132269404607
2,0.20114411875011776,0.5300587324568784,0.6621477508994079,0.6621477508994079,9.0,8.643,0.7161057365917403,1000,1000,exp((((b-e2)*a)*exp(0.0209))),exp((((b-e2)*a)*exp(0.0209))),[exp mul mul sub b e2 a exp 0.0209],0.020840875233206903,-36.494185517554655,[exp mul mul sub b e2 a exp 0.0209],0.020840875233206903,-36.494185517554655
3,0.1972082143732206,0.5310238043717368,0.6621477508994079,0.6386358221329549,12.0,8.861,0.773481019116155,1000,993,(((d-(b-log((e1*u2))))*a)+d),exp((((b-e2)*a)*exp(0.0209))),[add mul sub d sub b log mul e1 u2 a d],-0.13675356606490183,-1.161387853850729,[exp mul mul sub b e2 a exp 0.0209],0.020840875233206903,-36.494185517554655
4,0.2209979854073399,0.5442453713769576,0.6621477508994079,0.6280318068087769,14.0,8.875,1.1798754955019504,1000,992,tanh(((d-(e2*(0.0209-a)))-(a-(e2+b)))),exp((((b-e2)*a)*exp(0.0209))),[tanh sub sub d mul e2 sub 0.0209 a sub a add e2 b],-0.9832684325081616,-1.5407874034406894,[exp mul mul sub b e2 a exp 0.0209],0.020840875233206903,-36.494185517554655
5,0.22343682516167088,0.5474588583724396,0.6621477508994079,0.6621477508641104,15.0,9.137,1.2821250927719772,1000,992,exp((a*(log(0.0209)*(((b+(e2-d))-a)-a)))),exp((((b-e2)*a)*exp(0.0209))),[exp mul a mul log 0.0209 sub sub add b sub e2 d a a],0.005504335141869183,37.504618126989236,[exp mul mul sub b e2 a exp 0.0209],0.020840875233206903,-36.494185517554655
6,0.2435774054502751,0.5663426610178053,0.6621477508994079,0.634367207042896,17.0,9.376,1.5688011195639626,1000,991,(log((exp(((((a*(a-d))*f)-e2)*b))*a))-b),exp((((b-e2)*a)*exp(0.0209))),[sub log mul exp mul sub mul mul a sub a d f e2 b a b],1.4862029948629045,0.004015249523908295,[exp mul mul sub b e2 a exp 0.0209],0.020840875233206903,-36.494185517554655
7,0.26517315287884013,0.5781984084917934,0.6621477508994079,0.6495010389542674,16.0,9.839,2.0729218033003507,1000,986,((b-(exp((a*log((e2-log((u2-a))))))*0.0209))*a),exp((((b-e2)*a)*exp(0.0209))),[mul sub b mul exp mul a log sub e2 log sub u2 a 0.0209 a],0.7189851682117636,0.635973471173561,[exp mul mul sub b e2 a exp 0.0209],0.020840875233206903,-36.494185517554655
8,0.2955938147518466,0.5872626107513462,0.6621477508994079,0.632634824675299,15.0,10.476,0.4321100183430846,1000,982,tanh(exp(((b-((a-a)+((e1*e2)-a)))*a))),exp((((b-e2)*a)*exp(0.0209))),[tanh exp mul sub b add sub a a sub mul e1 e2 a a],0.0004418826070224669,-1653.7389968445848,[exp mul mul sub b e2 a exp 0.0209],0.020840875233206903,-36.494185517554655
9,0.30412865219330254,0.5959263890694015,0.6621477508994079,0.6621477505998337,8.0,10.74,0.7009691252918119,1000,978,exp((log(b)-(log(a)*e2))),exp((((b-e2)*a)*exp(0.0209))),[exp sub log b mul log a e2],1.0215104441878415,0.4599457843034289,[exp mul mul sub b e2 a exp 0.0209],0.020840875233206903,-36.494185517554655
