epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,a,b,overall_best_prog_prefix,a,b
0,0.1689524254854491,0.5326515115639235,0.6736104224522156,0.6736104224522156,15.0,8.336,0.7268659941515186,1000,941,sinh((((d/exp(((a+(e2+d))*b)))*d)*f)),sinh((((d/exp(((a+(e2+d))*b)))*d)*f)),[sinh mul mul div d exp mul add a add e2 d b d f],127.76335290780762,0.024122198415412896,[sinh mul mul div d exp mul add a add e2 d b d f],127.76335290780762,0.024122198415412896
1,0.16204904186783348,0.5248611573749479,0.6736104224522156,0.612674869836159,8.0,8.31,0.5462704752730819,1000,934,sinh(((f-(e2/f))/b)),sinh((((d/exp(((a+(e2+d))*b)))*d)*f)),[sinh div sub f div e2 f b],1.0,25.53520387154293,[sinh mul mul div d exp mul add a add e2 d b d f],127.76335290780762,0.024122198415412896
2,0.16756647130273858,0.5207549397062299,0.6736104224522156,0.5978652749221586,7.0,8.414,0.38253909179094964,1000,943,(sinh(b)/(e1-sinh(a))),sinh((((d/exp(((a+(e2+d))*b)))*d)*f)),[div sinh b sub e1 sinh a],-4.169138383463259,3.8660116601678234,[sinh mul mul div d exp mul add a add e2 d b d f],127.76335290780762,0.024122198415412896
3,0.17353096022587422,0.5259796404863745,0.6736104224522156,0.6025535615929897,9.0,8.36,0.5777253551697283,1000,941,(cosh((a/e1))-(log(e1)*a)),sinh((((d/exp(((a+(e2+d))*b)))*d)*f)),[sub cosh div a e1 mul log e1 a],0.18111723073534033,1.0,[sinh mul mul div d exp mul add a add e2 d b d f],127.76335290780762,0.024122198415412896
4,0.17316186606390585,0.5199138374709262,0.6736104224522156,0.5867133463191117,12.0,8.311,0.38059902903877507,1000,942,(a/cosh(exp((log((b+(b+a)))*u2)))),sinh((((d/exp(((a+(e2+d))*b)))*d)*f)),[div a cosh exp mul log add b add b a u2],0.9766707930594516,1.6497577855193175,[sinh mul mul div d exp mul add a add e2 d b d f],127.76335290780762,0.024122198415412896
5,0.1889962833047921,0.5406631974895797,0.6736104224522156,0.6334027955903728,8.0,8.347,0.9054923099060302,1000,950,(e1/((e2+log(b))*a)),sinh((((d/exp(((a+(e2+d))*b)))*d)*f)),[div e1 mul add e2 log b a],7.928528825207829,205.34754724769803,[sinh mul mul div d exp mul add a add e2 d b d f],127.76335290780762,0.024122198415412896
6,0.20241587105213585,0.5537767828914533,0.6736104224522156,0.6557190297343148,6.0,8.447,1.151959100281126,1000,943,tanh((b/(e2+a))),sinh((((d/exp(((a+(e2+d))*b)))*d)*f)),[tanh div b add e2 a],26.93343927206053,13.732538539234103,[sinh mul mul div d exp mul add a add e2 d b d f],127.76335290780762,0.024122198415412896
7,0.21261679832431518,0.5473932291878993,0.6736104224522156,0.6624275271040476,15.0,8.321,1.1393820514648516,1000,951,(d/((e2-(u2-(((a+u2)/b)/a)))/f)),sinh((((d/exp(((a+(e2+d))*b)))*d)*f)),[div d div sub e2 sub u2 div div add a u2 b a f],0.8135433337050556,0.06475490732581132,[sinh mul mul div d exp mul add a add e2 d b d f],127.76335290780762,0.024122198415412896
8,0.23344331613679772,0.5523814389332163,0.6736104224522156,0.6135067629767962,14.0,8.629,1.2361557321667533,1000,957,(d*tanh((((log(e2)*(log(b)+a))-b)/a))),sinh((((d/exp(((a+(e2+d))*b)))*d)*f)),[mul d tanh div sub mul log e2 add log b a b a],0.8270104989518571,-0.4105423033255121,[sinh mul mul div d exp mul add a add e2 d b d f],127.76335290780762,0.024122198415412896
9,0.24897421407921363,0.5702407290029453,0.6736104224522156,0.6259379164900598,7.0,8.605,0.5959959571170506,1000,976,tanh((exp(a)+(e2*b))),sinh((((d/exp(((a+(e2+d))*b)))*d)*f)),[tanh add exp a mul e2 b],-0.8216204938146139,-0.004102513319986399,[sinh mul mul div d exp mul add a add e2 d b d f],127.76335290780762,0.024122198415412896
10,0.27391886359799217,0.5804673773975693,0.6736104224522156,0.6543169243287413,7.0,8.472,0.561576050144608,1000,972,sinh((a/(exp(b)+e2))),sinh((((d/exp(((a+(e2+d))*b)))*d)*f)),[sinh div a add exp b e2],14.610935056396363,3.470499039282044,[sinh mul mul div d exp mul add a add e2 d b d f],127.76335290780762,0.024122198415412896
11,0.28600340931976226,0.5766399828932601,0.6736104224522156,0.6718583599067431,12.0,9.119,0.37788415102324885,1000,969,(tanh(b)/(exp(u2)/(sinh(b)/(a+e2)))),sinh((((d/exp(((a+(e2+d))*b)))*d)*f)),[div tanh b div exp u2 div sinh b add a e2],42.35497031514362,3.978627111820542,[sinh mul mul div d exp mul add a add e2 d b d f],127.76335290780762,0.024122198415412896
12,0.29142028629794575,0.5786880363819311,0.6736104224522156,0.655207497625062,14.0,9.509,0.17714339669094906,1000,971,tanh((a/(a+((a+(e2/(a/b)))-u2)))),sinh((((d/exp(((a+(e2+d))*b)))*d)*f)),[tanh div a add a sub add a div e2 div a b u2],33.50936229884456,79.99169675806299,[sinh mul mul div d exp mul add a add e2 d b d f],127.76335290780762,0.024122198415412896
13,0.30903528063521574,0.588256609428674,0.6736104224522156,0.6599225727577047,14.0,9.719,0.4455435316600007,1000,969,((f/((a*((a-b)+e2))/a))/tanh(a)),sinh((((d/exp(((a+(e2+d))*b)))*d)*f)),[div div f div mul a add sub a b e2 a tanh a],10.254172043946857,-10.710790039378335,[sinh mul mul div d exp mul add a add e2 d b d f],127.76335290780762,0.024122198415412896
14,0.3085887402568787,0.5878272016956824,0.6736104224522156,0.656773419056953,13.0,10.281,0.42410633520549373,1000,952,tanh(((a-(a/((exp(u2)+e2)+b)))-a)),sinh((((d/exp(((a+(e2+d))*b)))*d)*f)),[tanh sub sub a div a add add exp u2 e2 b a],-13.799802712474039,25.687637589595667,[sinh mul mul div d exp mul add a add e2 d b d f],127.76335290780762,0.024122198415412896
