epoch,reward,complexity,length,is_physical,is_elite,program,program_prefix,a,b
0,0.5908549046780095,9.0,9,True,False,(sqrt_eu1*((b*(a*d))*b)),[mul sqrt_eu1 mul mul b mul a d b],1.157180829356518,1.2764189722077375
0,0.1828495368360584,4.0,4,True,False,(1.0*tanh(sqrt_eu2)),[mul 1.0 tanh sqrt_eu2],1.0,1.0
0,0.1828495368360584,4.0,4,True,False,tanh((d*sqrt_eu2)),[tanh mul d sqrt_eu2],1.0,1.0
0,0.02091298860281071,6.0,6,True,False,(sqrt_eu2*tanh((f*sqrt_eu1))),[mul sqrt_eu2 tanh mul f sqrt_eu1],1.0,1.0
0,0.5001179801858988,6.0,6,True,False,(a*tanh((sqrt_eu2*f))),[mul a tanh mul sqrt_eu2 f],0.3238888238341078,1.0
0,0.3017746970860395,5.0,5,True,False,(1.0*(b*b)),[mul 1.0 mul b b],1.0,-2.414276422188824e-17
0,0.0201890891417337,8.0,8,True,False,(sqrt_eu2*tanh((sqrt_eu2*(sqrt_eu1*d)))),[mul sqrt_eu2 tanh mul sqrt_eu2 mul sqrt_eu1 d],1.0,1.0
0,0.18284420336824972,6.0,6,True,False,tanh((sqrt_eu2*(sqrt_eu2*b))),[tanh mul sqrt_eu2 mul sqrt_eu2 b],1.0,1.0
0,0.18284420722234324,6.0,6,True,False,tanh(((d*f)*a)),[tanh mul mul d f a],1.0,1.0
0,0.020069328612002422,4.0,4,True,False,(f*tanh(1.0)),[mul f tanh 1.0],1.0,1.0
0,0.09290866480759971,6.0,6,True,False,(d*(f*tanh(sqrt_eu1))),[mul d mul f tanh sqrt_eu1],1.0,1.0
0,0.4611678431044622,12.0,12,True,False,(sqrt_eu1*((tanh(a)*(1.0*b))*(sqrt_eu2*b))),[mul sqrt_eu1 mul mul tanh a mul 1.0 b mul sqrt_eu2 b],0.825279916749021,0.598119040890963
0,0.3017746970860395,5.0,5,True,False,(d*(b*b)),[mul d mul b b],1.0,-2.414276422188824e-17
0,0.09148561654216691,5.0,5,True,False,((sqrt_eu1*f)*d),[mul mul sqrt_eu1 f d],1.0,1.0
0,0.500117980185819,5.0,5,True,False,((b*a)*1.0),[mul mul b a 1.0],0.5691124210697599,0.5691124210697599
0,0.09290866480759971,8.0,8,True,False,((1.0*(1.0*tanh(sqrt_eu1)))*f),[mul mul 1.0 mul 1.0 tanh sqrt_eu1 f],1.0,1.0
0,0.5001179801825351,4.0,4,True,False,tanh((d*b)),[tanh mul d b],1.0,0.3359847202622447
0,0.18284420341831834,6.0,6,True,False,tanh(((sqrt_eu2*f)*sqrt_eu1)),[tanh mul mul sqrt_eu2 f sqrt_eu1],1.0,1.0
0,0.2064408126256009,6.0,6,True,False,tanh((f*(sqrt_eu1*d))),[tanh mul f mul sqrt_eu1 d],1.0,1.0
0,0.37975253854368685,6.0,6,True,False,tanh(((sqrt_eu2*d)*b)),[tanh mul mul sqrt_eu2 d b],1.0,0.03138653229458094
0,0.5001179799150581,4.0,4,True,False,(b*tanh(f)),[mul b tanh f],1.0,0.32388882973831495
0,0.0022347445650413946,6.0,6,True,False,(sqrt_eu2*(f*tanh(d))),[mul sqrt_eu2 mul f tanh d],1.0,1.0
0,0.18284420336824972,4.0,4,True,False,tanh((f*sqrt_eu2)),[tanh mul f sqrt_eu2],1.0,1.0
0,0.37975253854368685,6.0,6,True,False,(1.0*tanh((sqrt_eu2*a))),[mul 1.0 tanh mul sqrt_eu2 a],0.03138653229458094,1.0
0,0.46116784317548426,7.0,7,True,False,(sqrt_eu1*((b*sqrt_eu2)*1.0)),[mul sqrt_eu1 mul mul b sqrt_eu2 1.0],1.0,0.24252483143747752
0,0.5001179791997458,6.0,6,True,False,tanh((a*(a*d))),[tanh mul a mul a d],0.5796293854270951,1.0
0,0.3017746970860395,6.0,6,True,False,(b*tanh((b*f))),[mul b tanh mul b f],1.0,1.089577004518064e-17
0,0.18284420722234324,6.0,6,True,False,(tanh((f*b))*1.0),[mul tanh mul f b 1.0],1.0,1.0
0,0.5910189412841504,4.0,4,True,True,tanh((sqrt_eu1*a)),[tanh mul sqrt_eu1 a],1.9885007947665172,1.0
0,0.5404399628934562,5.0,5,True,False,(sqrt_eu1*(sqrt_eu1*f)),[mul sqrt_eu1 mul sqrt_eu1 f],1.0,1.0
0,0.5940819192638104,9.0,9,True,True,(1.0*(f*(1.0*(b*sqrt_eu1)))),[mul 1.0 mul f mul 1.0 mul b sqrt_eu1],1.0,0.18242267684422048
0,0.44243425769925826,5.0,5,True,False,(tanh(sqrt_eu1)*tanh(f)),[mul tanh sqrt_eu1 tanh f],1.0,1.0
0,0.5910189412841504,4.0,4,True,False,tanh((sqrt_eu1*a)),[tanh mul sqrt_eu1 a],1.9885007947665172,1.0
0,0.4020987837363685,4.0,4,True,False,(sqrt_eu1*tanh(d)),[mul sqrt_eu1 tanh d],1.0,1.0
0,0.4450971644782951,8.0,8,True,False,(sqrt_eu1*tanh((b*(b*sqrt_eu2)))),[mul sqrt_eu1 tanh mul b mul b sqrt_eu2],1.0,1.3044529366205617
0,0.46116784317548426,7.0,7,True,False,(1.0*(a*(sqrt_eu2*sqrt_eu1))),[mul 1.0 mul a mul sqrt_eu2 sqrt_eu1],0.24252483143747752,1.0
0,0.37975253849661883,8.0,8,True,False,tanh((b*(d*(b*sqrt_eu2)))),[tanh mul b mul d mul b sqrt_eu2],1.0,0.1771604594211821
0,0.5001179801858988,8.0,8,True,False,(d*((tanh(d)*a)*1.0)),[mul d mul mul tanh d a 1.0],0.4252774542730603,1.0
0,0.3017746970860395,9.0,9,True,False,(tanh(b)*((b*1.0)*tanh(sqrt_eu2))),[mul tanh b mul mul b 1.0 tanh sqrt_eu2],1.0,-4.359103243751827e-17
0,0.5001063530634414,6.0,6,True,False,(b*(tanh(sqrt_eu2)*d)),[mul b mul tanh sqrt_eu2 d],1.0,0.3238952517433889
0,0.18284420336824972,5.0,5,True,False,(1.0*(1.0*d)),[mul 1.0 mul 1.0 d],1.0,1.0
0,0.020069328612002422,4.0,4,True,False,(f*tanh(d)),[mul f tanh d],1.0,1.0
0,0.4020987837363685,4.0,4,True,False,(sqrt_eu1*tanh(1.0)),[mul sqrt_eu1 tanh 1.0],1.0,1.0
0,0.4953409895488203,5.0,5,True,False,(a*(b*f)),[mul a mul b f],0.17631262487222166,0.17631262487222166
0,0.5001179801858571,6.0,6,True,False,(tanh(1.0)*(a*b)),[mul tanh 1.0 mul a b],0.6521329133367585,0.6521329133367585
0,0.5001179801825351,4.0,4,True,False,(1.0*tanh(a)),[mul 1.0 tanh a],0.3359847202622447,1.0
0,0.18284420722234324,4.0,4,True,False,tanh((f*1.0)),[tanh mul f 1.0],1.0,1.0
0,0.37975253854368685,4.0,4,True,False,tanh((sqrt_eu2*b)),[tanh mul sqrt_eu2 b],1.0,0.03138653229458094
0,0.5001179801825351,6.0,6,True,False,(d*tanh((d*b))),[mul d tanh mul d b],1.0,0.3359847202622447
0,0.0014066246456066118,7.0,7,True,False,(1.0*(f*(d*f))),[mul 1.0 mul f mul d f],1.0,1.0
0,0.5001063530634414,4.0,4,True,False,(b*tanh(sqrt_eu2)),[mul b tanh sqrt_eu2],1.0,0.3238952517433889
0,0.18284420722234324,6.0,6,True,False,(1.0*tanh((f*a))),[mul 1.0 tanh mul f a],1.0,1.0
0,0.5001179801858988,4.0,4,True,False,(b*tanh(1.0)),[mul b tanh 1.0],1.0,0.42527745427306024
0,0.0017014301474238436,5.0,5,True,False,(1.0*(f*sqrt_eu2)),[mul 1.0 mul f sqrt_eu2],1.0,1.0
0,0.18284420722234324,4.0,4,True,False,(tanh(f)*1.0),[mul tanh f 1.0],1.0,1.0
0,0.18284420336824972,6.0,6,True,False,tanh((d*(f*sqrt_eu2))),[tanh mul d mul f sqrt_eu2],1.0,1.0
0,0.015207673400596878,5.0,5,True,False,(d*(1.0*f)),[mul d mul 1.0 f],1.0,1.0
0,0.2064408126256009,4.0,4,True,False,tanh((sqrt_eu1*f)),[tanh mul sqrt_eu1 f],1.0,1.0
0,0.3797525385436869,6.0,6,True,False,tanh(((a*sqrt_eu2)*b)),[tanh mul mul a sqrt_eu2 b],0.1771624460584999,0.1771624460584999
0,0.02315774514736682,4.0,4,True,False,(sqrt_eu2*tanh(d)),[mul sqrt_eu2 tanh d],1.0,1.0
0,0.40033310648009485,5.0,5,True,False,(tanh(d)*tanh(sqrt_eu1)),[mul tanh d tanh sqrt_eu1],1.0,1.0
0,0.37448070381403287,8.0,8,True,False,(tanh(1.0)*(sqrt_eu2*(b*d))),[mul tanh 1.0 mul sqrt_eu2 mul b d],1.0,0.036594480664439794
0,0.46116784317548426,5.0,5,True,False,(sqrt_eu2*(sqrt_eu1*a)),[mul sqrt_eu2 mul sqrt_eu1 a],0.24252483143747752,1.0
0,0.18284420722234324,4.0,4,True,False,tanh((a*f)),[tanh mul a f],1.0,1.0
0,0.5001179801825351,6.0,6,True,False,tanh((d*(1.0*a))),[tanh mul d mul 1.0 a],0.3359847202622447,1.0
0,0.18284420336824972,6.0,6,True,False,tanh((d*(sqrt_eu2*f))),[tanh mul d mul sqrt_eu2 f],1.0,1.0
0,0.25050908512435627,4.0,4,True,False,tanh((d*d)),[tanh mul d d],1.0,1.0
0,0.3233359212007067,4.0,4,True,False,(sqrt_eu1*tanh(sqrt_eu1)),[mul sqrt_eu1 tanh sqrt_eu1],1.0,1.0
0,1.1030053611380962e-05,11.0,11,True,False,((((f*(sqrt_eu2*f))*sqrt_eu1)*sqrt_eu2)*f),[mul mul mul mul f mul sqrt_eu2 f sqrt_eu1 sqrt_eu2 f],1.0,1.0
0,0.4450970807800203,8.0,8,True,False,(sqrt_eu1*tanh(((sqrt_eu1*sqrt_eu2)*b))),[mul sqrt_eu1 tanh mul mul sqrt_eu1 sqrt_eu2 b],1.0,6.582294594770299
0,0.4953409895499314,5.0,5,True,False,(b*(f*1.0)),[mul b mul f 1.0],1.0,0.03108609623438595
0,0.37975253854368685,6.0,6,True,False,tanh(((sqrt_eu2*b)*1.0)),[tanh mul mul sqrt_eu2 b 1.0],1.0,0.03138653229458094
0,0.5001063530634414,6.0,6,True,False,(b*tanh((sqrt_eu2*1.0))),[mul b tanh mul sqrt_eu2 1.0],1.0,0.3238952517433889
0,0.13613488126777346,8.0,8,True,False,(sqrt_eu1*(sqrt_eu2*(d*tanh(sqrt_eu2)))),[mul sqrt_eu1 mul sqrt_eu2 mul d tanh sqrt_eu2],1.0,1.0
0,0.5001179791997458,4.0,4,True,False,tanh((b*b)),[tanh mul b b],1.0,0.5796293854270951
0,0.46550330293036146,6.0,6,True,False,tanh((sqrt_eu1*(sqrt_eu2*b))),[tanh mul sqrt_eu1 mul sqrt_eu2 b],1.0,0.25661357460884887
0,0.49534098954802475,4.0,4,True,False,(f*tanh(b)),[mul f tanh b],1.0,0.03109605574359628
0,0.46116784310579473,8.0,8,True,False,(1.0*(sqrt_eu2*(tanh(a)*sqrt_eu1))),[mul 1.0 mul sqrt_eu2 mul tanh a sqrt_eu1],0.24745142285325736,1.0
0,0.44243426086712634,4.0,4,True,False,tanh((sqrt_eu1*d)),[tanh mul sqrt_eu1 d],1.0,1.0
0,0.5001179801858607,6.0,6,True,False,tanh((b*(1.0*a))),[tanh mul b mul 1.0 a],0.5796425827474724,0.5796425827474724
0,0.18284420722234324,4.0,4,True,False,tanh((f*1.0)),[tanh mul f 1.0],1.0,1.0
0,0.5001179801825351,4.0,4,True,False,tanh((1.0*a)),[tanh mul 1.0 a],0.3359847202622447,1.0
0,0.3017746970860395,6.0,6,True,False,(b*(f*tanh(b))),[mul b mul f tanh b],1.0,2.7737673979402435e-17
0,0.18284420336824972,10.0,10,True,False,tanh(((sqrt_eu2*((f*b)*1.0))*1.0)),[tanh mul mul sqrt_eu2 mul mul f b 1.0 1.0],1.0,1.0
0,0.01520815945868533,8.0,8,True,False,(f*tanh((d*(sqrt_eu2*d)))),[mul f tanh mul d mul sqrt_eu2 d],1.0,1.0
0,0.46116784317548426,5.0,5,True,False,((a*sqrt_eu2)*sqrt_eu1),[mul mul a sqrt_eu2 sqrt_eu1],0.24252483143747752,1.0
0,0.5001179801858607,8.0,8,True,False,tanh((b*((a*1.0)*1.0))),[tanh mul b mul mul a 1.0 1.0],0.5796425827474724,0.5796425827474724
0,0.590856727020677,8.0,8,True,False,(sqrt_eu1*(a*(d*tanh(sqrt_eu2)))),[mul sqrt_eu1 mul a mul d tanh sqrt_eu2],1.8854326792134053,1.0
0,0.18284420722234324,8.0,8,True,False,tanh((a*(f*(b*a)))),[tanh mul a mul f mul b a],1.0,1.0
0,0.5001179801825351,4.0,4,True,False,tanh((b*1.0)),[tanh mul b 1.0],1.0,0.3359847202622447
0,0.37448070381403287,5.0,5,True,False,((d*sqrt_eu2)*a),[mul mul d sqrt_eu2 a],0.027870142614273577,1.0
0,0.18284420722234324,4.0,4,True,False,tanh((d*f)),[tanh mul d f],1.0,1.0
0,0.5001179801825351,4.0,4,True,False,tanh((a*d)),[tanh mul a d],0.3359847202622447,1.0
0,0.5001063530634414,7.0,7,True,False,(b*(tanh(sqrt_eu2)*tanh(1.0))),[mul b mul tanh sqrt_eu2 tanh 1.0],1.0,0.4252858943447583
0,0.3241786033028966,5.0,5,True,False,((sqrt_eu2*b)*sqrt_eu2),[mul mul sqrt_eu2 b sqrt_eu2],1.0,0.0014190303115081
0,0.5001179798107468,6.0,6,True,False,(a*(1.0*tanh(b))),[mul a mul 1.0 tanh b],0.5222884961419962,0.7251962550269622
0,0.5001179801825351,4.0,4,True,False,tanh((b*d)),[tanh mul b d],1.0,0.3359847202622447
0,0.3017746970860395,11.0,11,True,False,(d*((sqrt_eu2*b)*((d*f)*b))),[mul d mul mul sqrt_eu2 b mul mul d f b],1.0,-4.198918471490798e-17
0,0.0017014301474238436,5.0,5,True,False,(f*(1.0*sqrt_eu2)),[mul f mul 1.0 sqrt_eu2],1.0,1.0
0,0.015207673400596878,5.0,5,True,False,(1.0*(d*f)),[mul 1.0 mul d f],1.0,1.0
0,0.5001179801858988,7.0,7,True,False,(b*(1.0*(d*d))),[mul b mul 1.0 mul d d],1.0,0.3238888238341078
0,0.37448070381403287,5.0,5,True,False,(sqrt_eu2*(b*1.0)),[mul sqrt_eu2 mul b 1.0],1.0,0.027870142614273577
0,0.5001179791997458,4.0,4,True,False,tanh((a*a)),[tanh mul a a],0.5796293854270951,1.0
0,0.5001179801825351,4.0,4,True,False,tanh((a*1.0)),[tanh mul a 1.0],0.3359847202622447,1.0
0,0.18284420722234324,4.0,4,True,False,tanh((f*a)),[tanh mul f a],1.0,1.0
0,0.5001179801858988,12.0,12,True,False,((tanh((sqrt_eu2*(f*(b*f))))*d)*a),[mul mul tanh mul sqrt_eu2 mul f mul b f d a],0.3238888238341078,1.0
0,0.4953409891652014,13.0,13,True,False,(d*(b*((f*((d*b)*a))*d))),[mul d mul b mul mul f mul mul d b a d],0.6440373676016605,0.21970172606264787
0,0.4450971734575148,5.0,5,True,False,(sqrt_eu1*(d*d)),[mul sqrt_eu1 mul d d],1.0,1.0
0,0.37448070381403287,5.0,5,True,False,(d*(a*sqrt_eu2)),[mul d mul a sqrt_eu2],0.027870142614273577,1.0
0,0.5001179801825351,4.0,4,True,False,tanh((a*1.0)),[tanh mul a 1.0],0.3359847202622447,1.0
0,0.49534098954802475,4.0,4,True,False,(f*tanh(a)),[mul f tanh a],0.03109605574359628,1.0
0,0.3233359212007067,4.0,4,True,False,(sqrt_eu1*tanh(sqrt_eu1)),[mul sqrt_eu1 tanh sqrt_eu1],1.0,1.0
0,0.020069328612002422,4.0,4,True,False,(tanh(1.0)*f),[mul tanh 1.0 f],1.0,1.0
0,0.4450971734575148,6.0,6,True,False,(sqrt_eu1*tanh((f*sqrt_eu2))),[mul sqrt_eu1 tanh mul f sqrt_eu2],1.0,1.0
0,0.18284420336824972,10.0,10,True,False,tanh((f*(f*((a*b)*a)))),[tanh mul f mul f mul mul a b a],1.0,1.0
0,0.5001179801858607,6.0,6,True,False,(1.0*tanh((a*b))),[mul 1.0 tanh mul a b],0.5796425827474724,0.5796425827474724
0,0.5001179801858988,8.0,8,True,False,(a*tanh((sqrt_eu2*(f*f)))),[mul a tanh mul sqrt_eu2 mul f f],0.3238888238341078,1.0
