complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.5910294754379144,0.10740390170609768,0.5211872168175922,(a*tanh(sqrt_eu1)),[mul a tanh sqrt_eu1],1.9122427946985416,1.0
5,5,0.5940819192638104,0.10605453684851471,0.533142733319401,(f*(a*sqrt_eu1)),[mul f mul a sqrt_eu1],0.18242267684422048,1.0
8,8,0.6128412050742837,0.09805694571581039,0.6008994346207346,(b*tanh(((a*sqrt_eu1)*sqrt_eu1))),[mul b tanh mul mul a sqrt_eu1 sqrt_eu1],34.732604482727005,0.45763909066841435
12,12,0.6204177987139601,0.09496395241831976,0.6256798698962016,(b*tanh((a*(sqrt_eu1*(sqrt_eu1*(1.0*sqrt_eu1)))))),[mul b tanh mul a mul sqrt_eu1 mul sqrt_eu1 mul 1.0 sqrt_eu1],266.49933422486595,0.43269206175463987
