complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.5293793462899606,0.10555739105397802,0.20967088931521438,(b/((u2)**(0.5))),[div b sqrt u2],1.0,0.1464101519743078
5,5,0.5435575496625747,0.09970688633000596,0.29485084160769004,((e2*b)-a),[sub mul e2 b a],-0.28858186226735694,-0.00200655018580539
6,6,0.5530645367505104,0.09595191851977279,0.3469626684544189,(a/(((e2)**(2))+b)),[div a add n2 e2 b],1152.6069475617587,4060.743949811036
7,7,0.5620962227048577,0.09250233227274815,0.393073571653626,((logabs(((b*e2)+a)))**(-1)),[inv logabs add mul b e2 a],47.579944772729135,-6.490792933116075
9,9,0.5838593423567581,0.08462848643552022,0.4919998613581549,(((((((b-a)/e2)-e2))**(-1)))**(0.5)),[sqrt inv sub div sub b a e2 e2],8.59186597346909,-6.5918659734690905
10,10,0.6270782850236686,0.07061233437736901,0.646335212445579,(erf(-((b/e2)))*(((e2/a))**(0.5))),[mul erf neg div b e2 sqrt div e2 a],17.77466276587345,-4.739464752079667
11,11,0.6408335426725777,0.0665480284533043,0.6858760349504109,((arctan((b/(expneg(e2)+(((a)**(0.5))*e2)))))**(0.5)),[sqrt arctan div b add expneg e2 mul sqrt a e2],-0.00014319575955478434,-0.01831052541368285
13,13,0.649074360350288,0.0641956062252486,0.7076916023032642,(a/(((((expneg(e2)/a)+b))**(0.5))+(e2*b))),[div a add sqrt add div expneg e2 a b mul e2 b],0.2712483199901338,0.040789221503686406
18,18,0.6543826664188919,0.06271167295190881,0.7210492993526678,tanh((abs((abs((f/((((((abs(((e2)**(2)))+a))**(2))/e2))**(0.5))))*b))*a)),[tanh mul abs mul abs div f sqrt div n2 add abs n2 e2 a e2 b a],132.4296718321823,-0.024925195207721323
19,19,0.6550225041422664,0.06253443101321257,0.7226238672777998,erf((f*((erf((((((((((((e2)**(2))+a))**(2))+b)/a)/e2)/b))**(-1))))**(0.5)))),[erf mul f sqrt erf inv div div div add n2 add n2 e2 a b a e2 b],132.13846345940345,-0.05642191433327237
20,20,0.657362998026288,0.06188902843907207,0.7283197842348583,((f/(((abs(abs(((abs((((e2/(a/e2))+a)/a)))**(2))))/e2))**(0.5)))*b),[mul div f sqrt div abs abs n2 abs div add div e2 div a e2 a a e2 b],11.45199863464146,0.024196520621140895
21,21,0.6716292344794519,0.05805231617976556,0.7609604363288818,(a*((f/((abs((((((((((e2/b))**(2))+e2)+a)/b))**(2))/e2)))**(0.5)))*b)),[mul a mul div f sqrt abs div n2 div add add n2 div e2 b e2 a b e2 b],5412.169860080809,0.15519988767474757
