complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.5293793462899606,0.10555739105397802,0.20967088931521438,(a/((u2)**(0.5))),[div a sqrt u2],0.1464101519743078,1.0
5,5,0.5435575496625747,0.09970688633000596,0.29485084160769004,((e2*b)-a),[sub mul e2 b a],-0.28858186226735694,-0.00200655018580539
6,6,0.557252971093245,0.09433827289163747,0.3687425368953705,(tanh((b/e2))/a),[div tanh div b e2 a],3.537152217373425,32.251779443914245
7,7,0.5838593423639672,0.0846284864330092,0.49199986138830054,(((e2/(a+((e2)**(2)))))**(0.5)),[sqrt div e2 add a n2 e2],15.183794195235283,1.0
8,8,0.6300376788760911,0.06972293024941592,0.6551883383828114,(e2/(((a*(b+e2)))**(2))),[div e2 n2 mul a add b e2],0.3341193747652191,5.147098109490197
10,10,0.6337561023524635,0.06861718564311924,0.666038436068424,(e2/(((a*((e2+u2)+b)))**(2))),[div e2 n2 mul a add add e2 u2 b],0.3328148847475663,4.851937099997364
11,11,0.6385873782555568,0.06719974783264575,0.6796933390098383,(((a/(((b/e2)+((e2)**(2)))*b)))**(0.5)),[sqrt div a mul add div b e2 n2 e2 b],17811.54573396961,573.9945741552224
12,12,0.6392694697315952,0.06700135636681401,0.6815818075699047,((f/b)/(e2+((((a)**(2))*a)/e2))),[div div f b add e2 div mul n2 a a e2],2.9833481694967205,1.7782896297893263
13,13,0.6411603644856759,0.06645358240519865,0.6867670219657622,(((e2)**(0.5))/(((((b*(e2+a))+u2)+a))**(2))),[div sqrt e2 n2 add add mul b add e2 a u2 a],1.4607873021826767,0.0960166950570083
14,14,0.6415242697944677,0.06634853307408992,0.6877565519718449,(e2/(((u2+((((e2+u2)+a)+b)*b)))**(2))),[div e2 n2 add u2 mul add add add e2 u2 a b b],3.6780050210613675,0.32789695012738707
15,15,0.6438424586063618,0.06568212421841782,0.6939974376684983,(e2/(((((e2+((((u2+b)*b))**(2)))*a)*b))**(2))),[div e2 n2 mul mul add e2 n2 mul add u2 b b a b],0.23542262945870393,1.3751162794552552
16,16,0.6470207741607714,0.06477621676370551,0.7023801848503624,((e2+(b*d))/((((u2+((e2+b)*b)))**(2))+a)),[div add e2 mul b d add n2 add u2 mul add e2 b b a],5.363640610331614,0.38738632522888494
18,18,0.6547860708975518,0.06259988521747215,0.7220429093857983,(a*(f*(e2/(((((((e2+u2)+a)+u2))**(2))/u1)*b)))),[mul a mul f div e2 mul div n2 add add add e2 u2 a u2 u1 b],4.361024312804253,5.809813062725814
19,19,0.6550883474344216,0.06251621136025896,0.7227854729912182,(((f)**(0.5))/(((log((((((((e2)**(2))+u2)+a)*a)*b)+u2)))**(2))+a)),[div sqrt f add n2 log add mul mul add add n2 e2 u2 a a b u2 a],4.985540106006263,-0.009182743865027251
20,20,0.6566193646009955,0.06209359027818925,0.7265208465976043,(f*(e2/(((((((((e2+u2)+b)+u2)*b)+u2)+u2))**(2))+a))),[mul f div e2 add n2 add add mul add add add e2 u2 b u2 b u2 u2 a],28.969121848292378,1.176413814789012
22,22,0.6570313607474899,0.06198019942413887,0.7275187505835561,(f*(e2/((((((b*((((e2+u2)+u2)+u2)+b))*b)+u2))**(2))+a))),[mul f div e2 add n2 add mul mul b add add add add e2 u2 u2 u2 b b u2 a],29.382150825905782,1.085514950906817
23,23,0.6787544996034212,0.05619646403322174,0.7759996672920497,tanh(((e2/((((((((((f*b)+e2)*b)*a)+e2)+b)+b)+a))**(2)))*b)),[tanh mul div e2 n2 add add add add mul mul add mul f b e2 b a e2 b b a b],-0.019014430399616714,6.7564065870316705
