complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.6695415710476129,0.09028536773248343,0.756399276613982,(a/((e2)**(0.5))),[div a sqrt e2],0.3067725356560258,1.0
5,5,0.721299865739136,0.07068046711681662,0.8507058972115085,(b/(e2+a)),[div b add e2 a],2.647573010598829,1.2874655704109228
6,6,0.7902496105284327,0.04855305596264628,0.9295506531738988,(f/(((e2)**(2))+a)),[div f add n2 e2 a],26.4828040489671,1.0
7,7,0.7902496114531845,0.04855305569176766,0.929550653959976,(f/(((a)**(2))+((e2)**(2)))),[div f add n2 a n2 e2],5.1461912608880125,1.0
8,8,0.7921132177463889,0.04800845184887126,0.931122205288401,(f/((((e2+a))**(2))+b)),[div f add n2 add e2 a b],-0.6610636252399437,27.371601742185405
9,9,0.8012239852488788,0.04538246923463887,0.9384511312817367,(f/(b+(a*((((e2)**(2)))**(2))))),[div f add b mul a n2 n2 e2],0.006024379884111479,28.01580759448215
10,10,0.8056406711812801,0.04413082968377799,0.9417993257307726,(f/(b+(((((((e2*a))**(2)))**(2)))**(2)))),[div f add b n2 n2 n2 mul e2 a],0.1613688185399073,28.143293621556026
12,12,0.8058499827086938,0.04407185363838328,0.9419547795070786,(f/(((((((((e2)**(2))*a))**(2))+b)+a))**(2))),[div f n2 add add n2 mul n2 e2 a b a],0.018780537733055096,5.2768980709011055
14,14,0.809377697210599,0.04308246690895744,0.9445316870306886,((u1*f)/(((((((((e2)**(2))*a)+b))**(2)))**(2))+a)),[div mul u1 f add n2 n2 add mul n2 e2 a b a],0.009177144695978178,2.359688341372429
17,17,0.8111675499821999,0.0425837735426416,0.9458083819502823,(u1*(f/((((((((((((e2)**(2))+b)/a))**(2)))**(2))*a)/a))**(2)))),[mul u1 div f n2 div mul n2 n2 div add n2 e2 b a a a],380.2314875681724,584.3275378358466
20,20,0.8128373042080524,0.042120522463048184,0.9469810246615815,(u1*(f/(((((((((((((((e2*a))**(2)))**(2))*a)+b))**(2))+a))**(2)))**(2))+a))),[mul u1 div f add n2 n2 add n2 add mul n2 n2 mul e2 a a b a a],0.11568844021522691,1.5032048336329131
21,21,0.81379730301077,0.04185504423956064,0.9476472569509324,(f/(((((((((e2*((f)**(2))))**(2))*(e2*d))/a)+b)+a)+b)/b)),[div f div add add add div mul n2 mul e2 n2 f mul e2 d a b a b b],1540.2063920658393,60.506011832167154
22,22,0.8157540538096394,0.041315858847680506,0.9489874068118691,((u1*(((f/(((((((((e2)**(2))*(f*b))*a))**(2))+b))**(2)))/b)/b))*b),[mul mul u1 div div div f n2 add n2 mul mul n2 e2 mul f b a b b b b],-0.000529569611374256,3.1712103121124837
23,23,0.8198266282966724,0.04020190843223499,0.951701107638877,(f/(((((((((((((e2*f)/a))**(2))*0.0209)+b)*b))**(2))+a)/a)/a)/e1)),"[div f div div div add n2 mul add mul n2 div mul e2 f a 0.0209 b b a a a
 e1]",3.1606933605331013,8.716786274901684
