complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.5861347718323083,0.10959699426986709,0.5014337144410934,exp((a*u2)),[exp mul a u2],-3.0320827998902207,1.0
5,5,0.6322277480668673,0.09029061192796783,0.6616152266462492,(a+(b*e2)),[add a mul b e2],0.4209748261139993,-0.003979618799159399
6,6,0.6621477504398829,0.07919706683422846,0.7396582534271081,exp((a*(b-e2))),[exp mul a sub b e2],0.02128272344885155,-36.491765884463675
7,7,0.6621477508596482,0.07919706668562333,0.7396582544041168,exp((a-(e2*exp(b)))),[exp sub a mul e2 exp b],-0.7766563214914184,-3.8498925164205953
8,8,0.6627827452211795,0.07897248157652635,0.7411327023722039,exp((a-(b*(e2+u2)))),[exp sub a mul b add e2 u2],-0.7698406556631564,0.021214728456128745
9,9,0.6716838311850243,0.07586903625645558,0.7610787631197828,(f*exp((a-log((b+e2))))),[mul f exp sub a log add b e2],0.2615573974299009,27.958002941618375
11,11,0.6762710978675739,0.07430154380638915,0.7708492439202606,tanh((f*exp((b-((e2*a)*a))))),[tanh mul f exp sub b mul mul e2 a a],-0.15781865767647454,-3.0151050988486072
12,12,0.6784201213123846,0.07357450298458046,0.7753117852141123,(f*(exp(((b+a)*(0.0209-e2)))*b)),[mul f mul exp mul add b a sub 0.0209 e2 b],-0.022285986288809463,0.04542274549709273
13,13,0.6938372205849621,0.06849076047884997,0.805289399401063,tanh((f*exp((((b*(a-e2))-b)-u2)))),[tanh mul f exp sub sub mul b sub a e2 b u2],-130.14418214481898,0.020612307105021745
14,14,0.6960264145555355,0.06778714057167057,0.8092694553198183,(f*exp((((b*(b-(e2*a)))-u2)-a))),[mul f exp sub sub mul b sub b mul e2 a u2 a],2.79534839777399,0.0064188060374795
15,15,0.7382524295853485,0.055031957931597444,0.8742941327672498,(f*(e1*exp(((log((0.0209-(e2+a)))-0.0209)*b)))),[mul f mul e1 exp mul sub log sub 0.0209 add e2 a 0.0209 b],20.67948897933346,-2.0422663302286677
23,23,0.7583586068250283,0.04945769831398801,0.8984702254484092,(f*exp(((((a*log((((((b-e2)-b)*a)-b)-e2)))-a)-u2)+b))),[mul f exp add sub sub mul a log sub sub mul sub sub b e2 b a b e2 a u2 b],-0.5293703058684699,-2.8899711144546374
