complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.5877038126895414,0.10822042223279227,0.5078453179747879,sin(((expneg(u2))**(3))),[sin n3 expneg u2],1.0,1.0
5,5,0.6599225723283528,0.07949562663274118,0.7344357275242466,(f/(e2-b)),[div f sub e2 b],1.0,-20.96493526302814
6,6,0.6880302408073666,0.06994608062239056,0.7944062343066394,tanh((((((a-e2))**(-1)))**(0.5))),[tanh sqrt inv sub a e2],5.498894960653426,1.0
8,8,0.6883210693313669,0.06985134859710546,0.7949627522612528,expneg((((a+(((e2)**(0.5))/b)))**(0.5))),[expneg sqrt add a div sqrt e2 b],-1.3840940738255652,1.492471895245347
9,9,0.7306641434885016,0.0568636578234056,0.8641208696969676,tanh((f/(((b*(a+e2)))**(0.5)))),[tanh div f sqrt mul b add a e2],-5.909298332329809,97.29279232126815
12,12,0.7387211899882382,0.05456096540286132,0.8749028933107321,(f/((((a*((a-e2)*a))+b))**(0.5))),[div f sqrt add mul a mul sub a e2 a b],10.440300429352007,-478.6005739836502
15,15,0.7387211913779296,0.05456096501002135,0.8749028951121351,(f/(((((e2-((a*a)+b))*a)/((b)**(0.5))))**(0.5))),[div f sqrt div mul sub e2 add mul a a b a sqrt b],2.459708410042066,-0.000509245773318444
18,18,0.7437192712830077,0.053157595567554804,0.8812554105644721,(((f/((((((((((e2)**(2))+e2)*u2)*a)+b))**(0.5)))**(0.5)))/b)/b),[div div div f sqrt sqrt add mul mul add n2 e2 e2 u2 a b b b],-0.19552558021184663,4.056207544313653
20,20,0.7638985016227753,0.047678380872477576,0.9044729931513384,tanh((f/(((((((((b-e2)*u2)*((b)**(2)))*a))**(0.5))/a)+b)-b))),[tanh div f sub add div sqrt mul mul mul sub b e2 u2 n2 b a a b b],0.13174091450755854,6.218981790430096
