complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.7169805934187066,0.07220826329244279,0.8441819982377179,(((e2+a))**(-1)),[inv add e2 a],1.905740434715539,1.0
5,5,0.7635876543058983,0.05663557817632387,0.9041432924331994,expneg(expneg((e2*a))),[expneg expneg mul e2 a],-0.07910279986794418,1.0
6,6,0.7659553972239942,0.05589503522606826,0.9066336675552069,(b/(a+((e2)**(2)))),[div b add a n2 e2],28.277791729208587,10.919592100204778
7,7,0.7798193500679235,0.05164915568343639,0.9202794504250655,expneg(((((e2)**(2))/a)+b)),[expneg add div n2 e2 a b],79.98564956041234,0.9806998692126064
8,8,0.781613327257227,0.05111075074119674,0.9219328452311237,expneg(((((((b*e2))**(2))+a))**(4))),[expneg n4 add n2 mul b e2 a],0.9971312050607372,0.04580669449728697
10,10,0.8058082394782737,0.04408361285078452,0.9419238002275099,tanh((f*expneg((a+(((e2)**(2))*b))))),[tanh mul f expneg add a mul n2 e2 b],3.2605998573537893,0.012217846545682698
11,11,0.8063129586137255,0.04394151336329558,0.942297603413909,(f*expneg((((((e2)**(2))*a)/b)+a))),[mul f expneg add div mul n2 e2 a b a],3.311529085787225,277.7514523461481
12,12,0.8072728990091985,0.043671740451480895,0.9430039404526362,((f*expneg(((((((e2)**(2)))**(2))*b)+b)))*a),[mul mul f expneg add mul n2 n2 e2 b b a],0.03559334191639627,9.05122966010896e-05
14,14,0.8076434696157918,0.043567770224040576,0.9432750008346598,(f*(expneg((((((((e2)**(2))+b)*a)+b))**(2)))/b)),[mul f div expneg n2 add mul add n2 e2 b a b b],0.003114333060890139,1.6687596674028986
15,15,0.822516048472956,0.03947233276257585,0.9534382367948384,(e1*(u1*(f*(a*tanh(expneg(((e2*b)+b))))))),[mul e1 mul u1 mul f mul a tanh expneg add mul e2 b b],0.0026388871503301883,0.24880218621612823
17,17,0.8234687660862838,0.039215026256768815,0.9540432983615827,tan((f*(u1*(e1*expneg(((((e2*b)+b)+a)+b)))))),[tan mul f mul u1 mul e1 expneg add add add mul e2 b b a b],5.9108209938817176,0.22809209022735447
18,18,0.83369162299713,0.03649108462322756,0.9602060201917522,((tanh((u1*(e1*(f*expneg(((((e2*a)+a)+b)+b)))))))**(3)),[n3 tanh mul u1 mul e1 mul f expneg add add add mul e2 a a b b],0.1541383686668448,2.679888250742371
19,19,0.8353694974173252,0.03605037403324592,0.9611614165942115,sin((((u1*(e1*((f*((expneg((((b*e2)+b)+a)))**(2)))*b))))**(2))),[sin n2 mul u1 mul e1 mul mul f n2 expneg add add mul b e2 b a b],1.6143613889003887,0.0823855995842745
20,20,0.8360174010997659,0.03588066904723742,0.9615262165621314,tanh((((e1*(f*((u1*expneg(((((e2*a)+a)+b)+b)))*b))))**(2))),[tanh n2 mul e1 mul f mul mul u1 expneg add add add mul e2 a a b b b],0.16550169517740465,3.477875557712181
22,22,0.8360174012441932,0.03588066900943698,0.9615262166431962,tanh((((u1*(e1*(f*expneg((((((a+(e2*b))+a)+a)+a)+b))))))**(2))),[tanh n2 mul u1 mul e1 mul f expneg add add add add add a mul e2 b a a a b],1.4273346734546581,0.16549887464887011
