epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,a,b,overall_best_prog_prefix,a,b
0,0.22191033017418796,0.5312620896677948,0.7066236419856505,0.7066236419856505,16.0,9.076,1.0070498806906159,1000,998,((cos((1.0-(b-((d+(((1.0)**(0.5))*e2))*(u1/e1))))))**(4)),((cos((1.0-(b-((d+(((1.0)**(0.5))*e2))*(u1/e1))))))**(4)),[n4 cos sub 1.0 sub b mul add d mul sqrt 1.0 e2 div u1 e1],1.0,0.39814709410795446,[n4 cos sub 1.0 sub b mul add d mul sqrt 1.0 e2 div u1 e1],1.0,0.39814709410795446
1,0.22884641539120917,0.5283804251845545,0.7066236419856505,0.676725671432604,15.0,9.096,0.8084210002229024,1000,996,(a*log((((((a*(e2/exp(((u2)**(2)))))-a)*1.0))**(3)))),((cos((1.0-(b-((d+(((1.0)**(0.5))*e2))*(u1/e1))))))**(4)),[mul a log n3 mul sub mul a div e2 exp n2 u2 a 1.0],-0.047518239209446006,1.0,[n4 cos sub 1.0 sub b mul add d mul sqrt 1.0 e2 div u1 e1],1.0,0.39814709410795446
2,0.22835163902621297,0.5295761801609076,0.7066236419856505,0.6789584207151476,11.0,9.215,0.8242005308109741,1000,998,(sin((((((b)**(4)))**(0.5))/(e2*((1.0)**(-1)))))*a),((cos((1.0-(b-((d+(((1.0)**(0.5))*e2))*(u1/e1))))))**(4)),[mul sin div sqrt n4 b mul e2 inv 1.0 a],0.4556510688920081,1.0000007278384861,[n4 cos sub 1.0 sub b mul add d mul sqrt 1.0 e2 div u1 e1],1.0,0.39814709410795446
3,0.23736226378927788,0.539218432548992,0.7347767112385979,0.7347767112385979,14.0,8.917,1.1488382849906027,1000,1000,(a*tanh(expneg(((log(e1)+(((log(e2)+u2))**(4)))/e1)))),(a*tanh(expneg(((log(e1)+(((log(e2)+u2))**(4)))/e1)))),[mul a tanh expneg div add log e1 n4 add log e2 u2 e1],0.5059130909564419,1.0,[mul a tanh expneg div add log e1 n4 add log e2 u2 e1],0.5059130909564419,1.0
4,0.2262074181473273,0.5493663403312278,0.771933043726195,0.771933043726195,13.0,9.343,1.34829305258686,1000,994,expneg(exp(((e2-(((expneg(log(a)))**(-1))/((e1)**(2))))/b))),expneg(exp(((e2-(((expneg(log(a)))**(-1))/((e1)**(2))))/b))),[expneg exp div sub e2 div inv expneg log a n2 e1 b],445.4420220079767,12.004848864132159,[expneg exp div sub e2 div inv expneg log a n2 e1 b],445.4420220079767,12.004848864132159
5,0.23398525015248928,0.5323876140851743,0.771933043726195,0.6390137169841935,11.0,9.291,0.9620938972514952,1000,997,(f*((1.0*expneg(b))*((cos(log(e1)))**(4)))),expneg(exp(((e2-(((expneg(log(a)))**(-1))/((e1)**(2))))/b))),[mul f mul mul 1.0 expneg b n4 cos log e1],1.0,3.478650861049383,[expneg exp div sub e2 div inv expneg log a n2 e1 b],445.4420220079767,12.004848864132159
6,0.24505129739167983,0.5352287954424206,0.771933043726195,0.6674087768058109,13.0,9.181,1.1111453629864672,1000,997,((((((b/(e1/b)))**(0.5))-logabs(((((((b)**(0.5)))**(0.5)))**(0.5)))))**(4)),expneg(exp(((e2-(((expneg(log(a)))**(-1))/((e1)**(2))))/b))),[n4 sub sqrt div b div e1 b logabs sqrt sqrt sqrt b],1.0,4.469283721332337,[expneg exp div sub e2 div inv expneg log a n2 e1 b],445.4420220079767,12.004848864132159
7,0.24956182793306875,0.5702118013827981,0.771933043726195,0.7448726078581122,13.0,9.279,1.8910710239768784,1000,991,expneg(exp((((expneg(((b/(e2/f))/f))*e1))**(0.5)))),expneg(exp(((e2-(((expneg(log(a)))**(-1))/((e1)**(2))))/b))),[expneg exp sqrt mul expneg div div b div e2 f f e1],1.0,20.19048839138485,[expneg exp div sub e2 div inv expneg log a n2 e1 b],445.4420220079767,12.004848864132159
8,0.2555286612214811,0.5649628633792206,0.771933043726195,0.7618194155159825,12.0,9.511,2.0115281190011856,1000,996,log(((((((expneg((e2*u2)))**(0.5))*tanh(b))+a))**(4))),expneg(exp(((e2-(((expneg(log(a)))**(-1))/((e1)**(2))))/b))),[log n4 add mul sqrt expneg mul e2 u2 tanh b a],0.9977327983173947,0.11608653439078295,[expneg exp div sub e2 div inv expneg log a n2 e1 b],445.4420220079767,12.004848864132159
9,0.2648234044805701,0.5840727745216312,0.771933043726195,0.7629815086769048,16.0,9.562,2.914256562471207,1000,991,(((((tanh(((log((((((((e2+b))**(0.5))/b))**(-1))+1.0)))**(2))))**(2)))**(4))*a),expneg(exp(((e2-(((expneg(log(a)))**(-1))/((e1)**(2))))/b))),[mul n4 n2 tanh n2 log add inv div sqrt add e2 b b 1.0 a],0.7018550270601739,7.402100325977794,[expneg exp div sub e2 div inv expneg log a n2 e1 b],445.4420220079767,12.004848864132159
10,0.2803301830821321,0.6168061414978999,0.771933043726195,0.7624894416555715,15.0,9.543,2.7279081550252706,1000,987,tan(((((exp((expneg((e2/(e1/e2)))/e1))+b))**(0.5))/a)),expneg(exp(((e2-(((expneg(log(a)))**(-1))/((e1)**(2))))/b))),[tan div sqrt add exp div expneg div e2 div e1 e2 e1 b a],0.5911943791234586,-1.0000048925438245,[expneg exp div sub e2 div inv expneg log a n2 e1 b],445.4420220079767,12.004848864132159
11,0.28661792206641057,0.6422137945315369,0.7809393939672488,0.7809393939672488,13.0,9.618,2.171294266724275,1000,992,(a*expneg((((e2/tan((((a)**(-1))-((expneg(b))**(0.5))))))**(3)))),(a*expneg((((e2/tan((((a)**(-1))-((expneg(b))**(0.5))))))**(3)))),[mul a expneg n3 div e2 tan sub inv a sqrt expneg b],0.367956896523474,-0.4467537673717737,[mul a expneg n3 div e2 tan sub inv a sqrt expneg b],0.367956896523474,-0.4467537673717737
12,0.30251769907655274,0.650086176176919,0.7809393939672488,0.7760746828640408,14.0,9.848,1.8842227440065722,1000,990,((expneg((expneg(((((((a)**(-1))/(b*e2)))**(-1))/a))*a)))**(4)),(a*expneg((((e2/tan((((a)**(-1))-((expneg(b))**(0.5))))))**(3)))),[n4 expneg mul expneg div inv div inv a mul b e2 a a],0.22608637377116286,-0.09164873073744559,[mul a expneg n3 div e2 tan sub inv a sqrt expneg b],0.367956896523474,-0.4467537673717737
13,0.3017831534446396,0.6611406170909686,0.7809393939672488,0.7609887145108434,14.0,10.334,1.5708704580599249,1000,989,tan(((d*(expneg(((expneg(b)*a)*e2))*a))*a)),(a*expneg((((e2/tan((((a)**(-1))-((expneg(b))**(0.5))))))**(3)))),[tan mul mul d mul expneg mul mul expneg b a e2 a a],0.6391436099967345,1.4685465901238404,[mul a expneg n3 div e2 tan sub inv a sqrt expneg b],0.367956896523474,-0.4467537673717737
