epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,a,b,overall_best_prog_prefix,a,b
0,0.3501149545023339,0.5920877800311557,0.5940819192638104,0.5940819192638104,5.0,5.629,-0.0060498485686068994,1000,1000,(sqrt_eu1*(b*f)),(sqrt_eu1*(b*f)),[mul sqrt_eu1 mul b f],1.0,0.18242267684422048,[mul sqrt_eu1 mul b f],1.0,0.18242267684422048
1,0.35536057803208465,0.5919377996568713,0.5940819192638104,0.5940819192638104,9.0,5.722,-0.0074922079076934645,1000,1000,(b*(f*(d*(sqrt_eu1*1.0)))),(sqrt_eu1*(b*f)),[mul b mul f mul d mul sqrt_eu1 1.0],1.0,0.1824226768442205,[mul sqrt_eu1 mul b f],1.0,0.18242267684422048
2,0.36465956775094466,0.5922615727729742,0.5940842358362523,0.5940842358362523,8.0,5.722,-0.005784317042193236,1000,1000,((tanh(sqrt_eu2)*f)*(sqrt_eu1*b)),((tanh(sqrt_eu2)*f)*(sqrt_eu1*b)),[mul mul tanh sqrt_eu2 f mul sqrt_eu1 b],1.0,0.18243241796347542,[mul mul tanh sqrt_eu2 f mul sqrt_eu1 b],1.0,0.18243241796347542
3,0.3687003192895701,0.5925578384410272,0.5940842447715825,0.5940842447715825,10.0,5.806,-0.0021893954460972982,1000,1000,(sqrt_eu1*(tanh((sqrt_eu2*a))*(b*f))),(sqrt_eu1*(tanh((sqrt_eu2*a))*(b*f))),[mul sqrt_eu1 mul tanh mul sqrt_eu2 a mul b f],0.9994939290456706,0.18243237042863594,[mul sqrt_eu1 mul tanh mul sqrt_eu2 a mul b f],0.9994939290456706,0.18243237042863594
4,0.3659232263491964,0.5930113706556829,0.5940842447715825,0.5940819192638104,5.0,5.789,-0.00022090881093107806,1000,1000,(b*(sqrt_eu1*f)),(sqrt_eu1*(tanh((sqrt_eu2*a))*(b*f))),[mul b mul sqrt_eu1 f],1.0,0.1824226768442205,[mul sqrt_eu1 mul tanh mul sqrt_eu2 a mul b f],0.9994939290456706,0.18243237042863594
5,0.37185061435165573,0.5947919885422185,0.6204177987139601,0.6204177987139601,10.0,5.941,0.01346727389659503,1000,1000,(b*tanh((((a*sqrt_eu1)*sqrt_eu1)*sqrt_eu1))),(b*tanh((((a*sqrt_eu1)*sqrt_eu1)*sqrt_eu1))),[mul b tanh mul mul mul a sqrt_eu1 sqrt_eu1 sqrt_eu1],266.4993342247938,0.4326920617546649,[mul b tanh mul mul mul a sqrt_eu1 sqrt_eu1 sqrt_eu1],266.4993342247938,0.4326920617546649
6,0.3914283393824414,0.5937742367333353,0.6204177987139601,0.596519997136318,12.0,5.881,-0.0024074791688294753,1000,1000,(b*((d*a)*(tanh((sqrt_eu1*b))*sqrt_eu1))),(b*tanh((((a*sqrt_eu1)*sqrt_eu1)*sqrt_eu1))),[mul b mul mul d a mul tanh mul sqrt_eu1 b sqrt_eu1],0.16638405772261625,11.71257651387203,[mul b tanh mul mul mul a sqrt_eu1 sqrt_eu1 sqrt_eu1],266.4993342247938,0.4326920617546649
7,0.41566821730424947,0.593631969083647,0.6204177987139601,0.5940819192638104,5.0,5.992,-0.004910869282428338,1000,1000,(sqrt_eu1*(f*a)),(b*tanh((((a*sqrt_eu1)*sqrt_eu1)*sqrt_eu1))),[mul sqrt_eu1 mul f a],0.18242267684422048,1.0,[mul b tanh mul mul mul a sqrt_eu1 sqrt_eu1 sqrt_eu1],266.4993342247938,0.4326920617546649
8,0.407135891392561,0.5940203213529285,0.6204177987139601,0.6018520558980989,12.0,5.96,0.0011172312395142069,1000,1000,((f*1.0)*((b*tanh((sqrt_eu1*a)))*sqrt_eu1)),(b*tanh((((a*sqrt_eu1)*sqrt_eu1)*sqrt_eu1))),[mul mul f 1.0 mul mul b tanh mul sqrt_eu1 a sqrt_eu1],10.484124241232394,0.19131531155837894,[mul b tanh mul mul mul a sqrt_eu1 sqrt_eu1 sqrt_eu1],266.4993342247938,0.4326920617546649
9,0.40829084972702095,0.5946284665104418,0.6204177987139601,0.6128412050742837,10.0,6.045,0.006590067259153579,1000,1000,(b*tanh(((d*sqrt_eu1)*(sqrt_eu1*a)))),(b*tanh((((a*sqrt_eu1)*sqrt_eu1)*sqrt_eu1))),[mul b tanh mul mul d sqrt_eu1 mul sqrt_eu1 a],34.732604482727005,0.45763909066841435,[mul b tanh mul mul mul a sqrt_eu1 sqrt_eu1 sqrt_eu1],266.4993342247938,0.4326920617546649
10,0.42557074140159246,0.594817712630581,0.6204177987139601,0.6128412074723352,10.0,6.109,-0.008613202199620324,1000,1000,(b*tanh((a*(a*(sqrt_eu1*sqrt_eu1))))),(b*tanh((((a*sqrt_eu1)*sqrt_eu1)*sqrt_eu1))),[mul b tanh mul a mul a mul sqrt_eu1 sqrt_eu1],5.8939189976140565,0.4576194757517092,[mul b tanh mul mul mul a sqrt_eu1 sqrt_eu1 sqrt_eu1],266.4993342247938,0.4326920617546649
11,0.4157444227701242,0.5948067434747252,0.6204177987139601,0.6128412050742837,8.0,6.084,0.014239889089308105,1000,1000,(tanh((a*(sqrt_eu1*sqrt_eu1)))*b),(b*tanh((((a*sqrt_eu1)*sqrt_eu1)*sqrt_eu1))),[mul tanh mul a mul sqrt_eu1 sqrt_eu1 b],34.73260448274676,0.4576390906683506,[mul b tanh mul mul mul a sqrt_eu1 sqrt_eu1 sqrt_eu1],266.4993342247938,0.4326920617546649
