complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.5910294754379144,0.10740390170609768,0.5211872168175922,(b*tanh(sqrt_eu1)),[mul b tanh sqrt_eu1],1.0,1.9122427946985416
5,5,0.5940819192638104,0.10605453684851471,0.533142733319401,((a*f)*sqrt_eu1),[mul mul a f sqrt_eu1],0.18242267684422048,1.0
8,8,0.6128412050742837,0.09805694571581039,0.6008994346207346,(a*tanh((sqrt_eu1*(b*sqrt_eu1)))),[mul a tanh mul sqrt_eu1 mul b sqrt_eu1],0.4576390906683674,34.73260448274157
9,9,0.6128412075213363,0.09805694470449977,0.6008994428529846,(tanh((sqrt_eu1*(sqrt_eu1*a)))*tanh(b)),[mul tanh mul sqrt_eu1 mul sqrt_eu1 a tanh b],34.737487445607066,0.4942991074570878
10,10,0.6204177987139601,0.09496395241831976,0.6256798698962016,(a*tanh((b*((sqrt_eu1*sqrt_eu1)*sqrt_eu1)))),[mul a tanh mul b mul mul sqrt_eu1 sqrt_eu1 sqrt_eu1],0.43269206175468833,266.49933422472617
13,13,0.6204178002183166,0.09496395181169595,0.6256798746784686,(tanh(f)*(tanh((sqrt_eu1*((sqrt_eu1*a)*sqrt_eu1)))*b)),[mul tanh f mul tanh mul sqrt_eu1 mul mul sqrt_eu1 a sqrt_eu1 b],266.4904305804056,0.4326951030531626
15,15,0.6204178003547678,0.09496395175667273,0.6256798751122399,((b*tanh(f))*tanh(((a*sqrt_eu1)*(a*(sqrt_eu1*sqrt_eu1))))),[mul mul b tanh f tanh mul mul a sqrt_eu1 mul a mul sqrt_eu1 sqrt_eu1],16.324816043530323,0.4326916412126609
17,17,0.6219915821021896,0.09433093830704836,0.6306535506210031,(b*(tanh(((f*b)*b))*tanh((sqrt_eu1*((sqrt_eu1*sqrt_eu1)*a))))),"[mul b mul tanh mul mul f b b tanh mul sqrt_eu1 mul mul sqrt_eu1 sqrt_eu1
 a]",265.91587213755963,0.44800638775202606
