epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,a,b,overall_best_prog_prefix,a,b
0,0.34560713983292224,0.592519216721493,0.5965199967310797,0.5965199967310797,12.0,5.582,-0.0005008042070004902,1000,1000,(((tanh((d*(sqrt_eu1*a)))*sqrt_eu1)*b)*b),(((tanh((d*(sqrt_eu1*a)))*sqrt_eu1)*b)*b),[mul mul mul tanh mul d mul sqrt_eu1 a sqrt_eu1 b b],11.711697853604639,1.3959847506497929,[mul mul mul tanh mul d mul sqrt_eu1 a sqrt_eu1 b b],11.711697853604639,1.3959847506497929
1,0.3437648895547488,0.5928635853327117,0.5965199967310797,0.5940842358362137,11.0,5.843,0.0014366484704923174,1000,1000,(sqrt_eu1*(tanh(sqrt_eu2)*(f*(tanh(a)*d)))),(((tanh((d*(sqrt_eu1*a)))*sqrt_eu1)*b)*b),[mul sqrt_eu1 mul tanh sqrt_eu2 mul f mul tanh a d],0.18449766619766267,1.0,[mul mul mul tanh mul d mul sqrt_eu1 a sqrt_eu1 b b],11.711697853604639,1.3959847506497929
2,0.3537279540132368,0.5921244400265191,0.5965199967310797,0.5940819192638104,7.0,5.837,-0.005943603878122965,1000,1000,(f*((1.0*a)*sqrt_eu1)),(((tanh((d*(sqrt_eu1*a)))*sqrt_eu1)*b)*b),[mul f mul mul 1.0 a sqrt_eu1],0.18242267684422048,1.0,[mul mul mul tanh mul d mul sqrt_eu1 a sqrt_eu1 b b],11.711697853604639,1.3959847506497929
3,0.37920390263054937,0.5939733717420604,0.6204177987139601,0.6204177987139601,12.0,6.042,0.01834852836353595,1000,1000,(b*tanh((a*(sqrt_eu1*(sqrt_eu1*(1.0*sqrt_eu1)))))),(b*tanh((a*(sqrt_eu1*(sqrt_eu1*(1.0*sqrt_eu1)))))),[mul b tanh mul a mul sqrt_eu1 mul sqrt_eu1 mul 1.0 sqrt_eu1],266.49933422486595,0.43269206175463987,[mul b tanh mul a mul sqrt_eu1 mul sqrt_eu1 mul 1.0 sqrt_eu1],266.49933422486595,0.43269206175463987
4,0.37612406953338307,0.5934740115377285,0.6204177987139601,0.5965199962315234,8.0,6.254,-0.0036003708417946256,1000,1000,(sqrt_eu1*(a*tanh((b*sqrt_eu1)))),(b*tanh((a*(sqrt_eu1*(sqrt_eu1*(1.0*sqrt_eu1)))))),[mul sqrt_eu1 mul a tanh mul b sqrt_eu1],1.9488059282006367,11.710458813502681,[mul b tanh mul a mul sqrt_eu1 mul sqrt_eu1 mul 1.0 sqrt_eu1],266.49933422486595,0.43269206175463987
5,0.3834417024754526,0.5937067482641073,0.6204177987139601,0.6023533957821927,15.0,6.379,0.0019012511877596998,1000,1000,((tanh(sqrt_eu1)*f)*(a*tanh((sqrt_eu1*(b*(1.0*a)))))),(b*tanh((a*(sqrt_eu1*(sqrt_eu1*(1.0*sqrt_eu1)))))),[mul mul tanh sqrt_eu1 f mul a tanh mul sqrt_eu1 mul b mul 1.0 a],0.194946302161263,52.27719069631461,[mul b tanh mul a mul sqrt_eu1 mul sqrt_eu1 mul 1.0 sqrt_eu1],266.49933422486595,0.43269206175463987
6,0.3896059735590315,0.5938555181049929,0.6204177987139601,0.6128412050742837,8.0,6.611,-0.0013429529195538026,1000,1000,(a*tanh((b*(sqrt_eu1*sqrt_eu1)))),(b*tanh((a*(sqrt_eu1*(sqrt_eu1*(1.0*sqrt_eu1)))))),[mul a tanh mul b mul sqrt_eu1 sqrt_eu1],0.457639090668354,34.73260448274571,[mul b tanh mul a mul sqrt_eu1 mul sqrt_eu1 mul 1.0 sqrt_eu1],266.49933422486595,0.43269206175463987
7,0.40939272892910133,0.5943691373376749,0.6204177987139601,0.6032061798073749,12.0,6.399,-0.01530213158090895,1000,1000,(d*(tanh((sqrt_eu1*(sqrt_eu1*a)))*(sqrt_eu1*b))),(b*tanh((a*(sqrt_eu1*(sqrt_eu1*(1.0*sqrt_eu1)))))),[mul d mul tanh mul sqrt_eu1 mul sqrt_eu1 a mul sqrt_eu1 b],86.90875332029573,1.9420931028132224,[mul b tanh mul a mul sqrt_eu1 mul sqrt_eu1 mul 1.0 sqrt_eu1],266.49933422486595,0.43269206175463987
8,0.41953976829318607,0.5940100657584693,0.6204177987139601,0.6013320744560972,10.0,6.457,0.00034016825416487845,1000,1000,(a*tanh((((b*sqrt_eu1)*sqrt_eu1)*f))),(b*tanh((a*(sqrt_eu1*(sqrt_eu1*(1.0*sqrt_eu1)))))),[mul a tanh mul mul mul b sqrt_eu1 sqrt_eu1 f],0.4656712612522287,3.204531581820918,[mul b tanh mul a mul sqrt_eu1 mul sqrt_eu1 mul 1.0 sqrt_eu1],266.49933422486595,0.43269206175463987
9,0.4245519267777808,0.5937174282021581,0.6204177987139601,0.6128412050742837,8.0,6.298,-0.0019493955795959403,1000,1000,(b*tanh(((a*sqrt_eu1)*sqrt_eu1))),(b*tanh((a*(sqrt_eu1*(sqrt_eu1*(1.0*sqrt_eu1)))))),[mul b tanh mul mul a sqrt_eu1 sqrt_eu1],34.732604482727005,0.45763909066841435,[mul b tanh mul a mul sqrt_eu1 mul sqrt_eu1 mul 1.0 sqrt_eu1],266.49933422486595,0.43269206175463987
