complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.5293793462936768,0.10555739104500486,0.20967088933879152,(b/((u2)**(0.5))),[div b sqrt u2],1.0,0.14641015197530297
5,5,0.5435575496683391,0.09970688632070082,0.2948508416404567,((e2*a)-b),[sub mul e2 a b],-0.0020065501857766937,-0.28858186226852345
6,6,0.5572529710991371,0.09433827288277226,0.36874253692552106,(tanh((b/e2))/a),[div tanh div b e2 a],3.5371522173085874,32.25177944274429
7,7,0.6178033769882151,0.07345497677874557,0.6172870700597506,(a/(e2-(b/e2))),[div a sub e2 div b e2],5.661229308149477,-26.716823756238
8,8,0.6300376789096781,0.06972293023448227,0.6551883384821822,(e2/((((e2+b)/a))**(2))),[div e2 n2 div add e2 b a],2.9929345667681218,5.147053718684664
9,9,0.6407359547456559,0.06657624841033401,0.6856095673781848,(((e2/((((e2+a))**(2))+b)))**(0.5)),[sqrt div e2 add n2 add e2 a b],-3.583382864008552,13.829534682646054
12,12,0.6438409654585073,0.06568255190396945,0.6939934525748042,(a/((((a)**(2))/((b+e2)*b))+e2)),[div a add div n2 a mul add b e2 b e2],6.1326429775399625,0.8092147946703276
13,13,0.6438409727674875,0.06568254981041514,0.6939934720820031,(b/((e2/a)+(a*(b/(b+e2))))),[div b add div e2 a mul a div b add b e2],7.578988842731408,0.8092378349842722
15,15,0.6539074091917373,0.06284354881905181,0.7198748594298876,(a/(b+(((((b/(a+((e2)**(2))))*a))**(2))+e2))),[div a add b add n2 mul div b add a n2 e2 a e2],6.931662016578667,5.754230421305417
