epoch,mean_R,mean_R_train,overall_max_R,max_R,best_prog_complexity,mean_complexity,loss,n_physical,n_rewarded,best_prog_of_epoch,overall_best_prog,best_prog_of_epoch_prefix,a,b,overall_best_prog_prefix,a,b
0,0.20841819821836033,0.5197671809584464,0.6200181532163426,0.6200181532163426,15.0,9.021,0.5630147177890733,1000,996,tanh((((logabs((((((exp((b+e2)))**(0.5))+(e2*e2)))**(0.5))))**(-1))-a)),tanh((((logabs((((((exp((b+e2)))**(0.5))+(e2*e2)))**(0.5))))**(-1))-a)),[tanh sub inv logabs sqrt add sqrt exp add b e2 mul e2 e2 a],-0.12564598316467662,9.892481362591388,[tanh sub inv logabs sqrt add sqrt exp add b e2 mul e2 e2 a],-0.12564598316467662,9.892481362591388
1,0.20737594590330036,0.5110296267092455,0.6200181532163426,0.6016842798960536,9.0,9.213,0.28660514016337113,1000,996,((tan((((((a)**(2))/(1.0+e2)))**(0.5))))**(0.5)),tanh((((logabs((((((exp((b+e2)))**(0.5))+(e2*e2)))**(0.5))))**(-1))-a)),[sqrt tan sqrt div n2 a add 1.0 e2],0.2915953691533089,1.0,[tanh sub inv logabs sqrt add sqrt exp add b e2 mul e2 e2 a],-0.12564598316467662,9.892481362591388
2,0.20853664098095168,0.515103008897707,0.6200181532163426,0.5909883674567309,15.0,9.057,0.39991274661036297,1000,996,expneg((1.0-((((((b-(e1+1.0))-a)*b)/e1))**(3)))),tanh((((logabs((((((exp((b+e2)))**(0.5))+(e2*e2)))**(0.5))))**(-1))-a)),[expneg sub 1.0 n3 div mul sub sub b add e1 1.0 a b e1],-27.917648915675112,1.3338385651735838,[tanh sub inv logabs sqrt add sqrt exp add b e2 mul e2 e2 a],-0.12564598316467662,9.892481362591388
3,0.21231600280930155,0.5264039326648796,0.6323053966239954,0.6323053966239954,13.0,9.223,0.7383897138045435,1000,997,tanh((((b)**(-1))/expneg(((a+(((f*e2))**(0.5)))/e2)))),tanh((((b)**(-1))/expneg(((a+(((f*e2))**(0.5)))/e2)))),[tanh div inv b expneg div add a sqrt mul f e2 e2],-1.7428952722841424,7.372616085474386,[tanh div inv b expneg div add a sqrt mul f e2 e2],-1.7428952722841424,7.372616085474386
4,0.2109303923460464,0.5148003182248643,0.6323053966239954,0.5893303369690442,11.0,9.018,0.46897907279542383,1000,999,(((tanh(expneg((u2+(a/exp(e1))))))**(3))/a),tanh((((b)**(-1))/expneg(((a+(((f*e2))**(0.5)))/e2)))),[div n3 tanh expneg add u2 div a exp e1 a],0.6339524235724585,1.0,[tanh div inv b expneg div add a sqrt mul f e2 e2],-1.7428952722841424,7.372616085474386
5,0.21694239212010968,0.5284617746960689,0.6546949509009565,0.6546949509009565,13.0,9.441,0.8952371144204183,1000,996,((((((a)**(-1))+((e2*d)/expneg(a)))*exp(b)))**(-1)),((((((a)**(-1))+((e2*d)/expneg(a)))*exp(b)))**(-1)),[inv mul add inv a div mul e2 d expneg a exp b],0.031744532507217066,-2.6952779892293783,[inv mul add inv a div mul e2 d expneg a exp b],0.031744532507217066,-2.6952779892293783
6,0.22248324419913246,0.5297657190646742,0.6546949509009565,0.6070084507473249,15.0,9.414,0.8789799695050959,1000,994,(cos(((u2*expneg(log(expneg(a))))+d))+((e2*b)*f)),((((((a)**(-1))+((e2*d)/expneg(a)))*exp(b)))**(-1)),[add cos add mul u2 expneg log expneg a d mul mul e2 b f],-1.023353576895325,-0.0002417285545056636,[inv mul add inv a div mul e2 d expneg a exp b],0.031744532507217066,-2.6952779892293783
7,0.24117128851441874,0.5244697888554848,0.6546949509009565,0.6319997394388076,17.0,9.508,0.758841201781825,1000,994,(((((((((d-(1.0*(a*u2)))*e2)*u2)*b))**(0.5))-a))**(4)),((((((a)**(-1))+((e2*d)/expneg(a)))*exp(b)))**(-1)),[n4 sub sqrt mul mul mul sub d mul 1.0 mul a u2 e2 u2 b a],0.8403891244423506,0.0027694497874238963,[inv mul add inv a div mul e2 d expneg a exp b],0.031744532507217066,-2.6952779892293783
8,0.25918289994670624,0.5519089364954415,0.6554615278553815,0.6554615278553815,14.0,9.796,1.4851968049202138,1000,986,expneg(((((b*(e2/((exp(((f)**(-1))))**(2))))+(b*a)))**(3))),expneg(((((b*(e2/((exp(((f)**(-1))))**(2))))+(b*a)))**(3))),[expneg n3 add mul b div e2 n2 exp inv f mul b a],123.01710949529362,0.00754567988473439,[expneg n3 add mul b div e2 n2 exp inv f mul b a],123.01710949529362,0.00754567988473439
9,0.2646344213551822,0.5611089085594709,0.6554615278553815,0.6361749836642668,19.0,9.795,1.7795708762108244,1000,992,((expneg(logabs(((((((((u2*e2))**(4))+(a-u2))*b)/a)*b)+u2))))**(0.5)),expneg(((((b*(e2/((exp(((f)**(-1))))**(2))))+(b*a)))**(3))),[sqrt expneg logabs add mul div mul add n4 mul u2 e2 sub a u2 b a b u2],5649.166117720093,2.2695294605560425,[expneg n3 add mul b div e2 n2 exp inv f mul b a],123.01710949529362,0.00754567988473439
10,0.2831741404566135,0.5656088604630205,0.6554615278553815,0.6044182358387116,9.0,10.002,1.224889282165174,1000,993,(((u2-e1)*logabs(b))+((a)**(-1))),expneg(((((b*(e2/((exp(((f)**(-1))))**(2))))+(b*a)))**(3))),[add mul sub u2 e1 logabs b inv a],2.051549235602155,1.0032017295831306,[expneg n3 add mul b div e2 n2 exp inv f mul b a],123.01710949529362,0.00754567988473439
11,0.2928055452571611,0.5779506388036054,0.6554615278553815,0.6066445768228174,14.0,10.619,0.48265013766053894,1000,988,log(expneg(log((((b*((b+e1)+a))/b)/a)))),expneg(((((b*(e2/((exp(((f)**(-1))))**(2))))+(b*a)))**(3))),[log expneg log div div mul b add add b e1 a b a],397.95059684623476,-159.62150791259728,[expneg n3 add mul b div e2 n2 exp inv f mul b a],123.01710949529362,0.00754567988473439
12,0.3038471645721225,0.5856723187027427,0.6554615278553815,0.6489109770527723,13.0,10.955,0.40469427413377734,1000,991,expneg(expneg((d-(((e2+(a+u2))/a)-b)))),expneg(((((b*(e2/((exp(((f)**(-1))))**(2))))+(b*a)))**(3))),[expneg expneg sub d sub div add e2 add a u2 a b],61.284675058500525,0.20281588882672832,[expneg n3 add mul b div e2 n2 exp inv f mul b a],123.01710949529362,0.00754567988473439
13,0.3220123472443794,0.5882946416062889,0.655616489620662,0.655616489620662,12.0,11.313,0.33943053037635174,1000,984,((u2-logabs(((b-e2)*(b*a))))/b),((u2-logabs(((b-e2)*(b*a))))/b),[div sub u2 logabs mul sub b e2 mul b a b],0.0028786693045561532,6.21225366637894,[div sub u2 logabs mul sub b e2 mul b a b],0.0028786693045561532,6.21225366637894
14,0.3306286961819856,0.586644560398518,0.655616489620662,0.6454648664782037,11.0,12.028,0.27076536966436426,1000,985,(((expneg(a)*(b*((a*e2)+u1))))**(-1)),((u2-logabs(((b-e2)*(b*a))))/b),[inv mul expneg a mul b add mul a e2 u1],0.03904171865269152,1.9282217597063886,[div sub u2 logabs mul sub b e2 mul b a b],0.0028786693045561532,6.21225366637894
15,0.3248309908766555,0.5863782528901349,0.655616489620662,0.6460649872535148,11.0,12.124,0.2779140588984943,1000,981,(((((exp(b)-((expneg(u2)*a)*e2)))**(4)))**(2)),((u2-logabs(((b-e2)*(b*a))))/b),[n2 n4 sub exp b mul mul expneg u2 a e2],0.003856356358403249,-0.0966211147509029,[div sub u2 logabs mul sub b e2 mul b a b],0.0028786693045561532,6.21225366637894
16,0.3324836640755922,0.5903871051773101,0.655616489620662,0.640437756566931,19.0,12.702,0.3034222817585948,1000,983,(((exp((((((e2*a)+u2)/((b/b)*b))+u2)-a)))**(-1))-a),((u2-logabs(((b-e2)*(b*a))))/b),[sub inv exp sub add div add mul e2 a u2 mul div b b b u2 a a],0.009476037610435962,0.6759578607261715,[div sub u2 logabs mul sub b e2 mul b a b],0.0028786693045561532,6.21225366637894
17,0.34499148189765183,0.5881348665117578,0.655616489620662,0.6288426795054926,15.0,12.989,0.16435111836691155,1000,983,((b-((((b-e2)-a))**(0.5)))/((exp(a)+b)-u2)),((u2-logabs(((b-e2)*(b*a))))/b),[div sub b sqrt sub sub b e2 a sub add exp a b u2],2.179898112233898,9.729150943786497,[div sub u2 logabs mul sub b e2 mul b a b],0.0028786693045561532,6.21225366637894
18,0.3555223039880586,0.5882979565773947,0.655616489620662,0.6218778739148554,16.0,13.148,0.21500677309324165,1000,981,(((((expneg((((b-a)/exp(b))*e2))*b))**(0.5))/u2)*b),((u2-logabs(((b-e2)*(b*a))))/b),[mul div sqrt mul expneg mul div sub b a exp b e2 b u2 b],0.22094464084473062,0.25999063532058786,[div sub u2 logabs mul sub b e2 mul b a b],0.0028786693045561532,6.21225366637894
19,0.34823237640792654,0.5860089665208169,0.655616489620662,0.6344084245830042,10.0,12.887,0.1966754617062091,1000,984,(((exp(((a)**(0.5)))/((e1+b)*u2)))**(0.5)),((u2-logabs(((b-e2)*(b*a))))/b),[sqrt div exp sqrt a mul add e1 b u2],0.46087015513011703,11.329983372860621,[div sub u2 logabs mul sub b e2 mul b a b],0.0028786693045561532,6.21225366637894
