epoch,reward,complexity,length,is_physical,is_elite,program,program_prefix,a,b
0,0.32590660396883486,8.0,8,True,False,tanh(((a*a)*(sqrt_eu2*d))),[tanh mul mul a a mul sqrt_eu2 d],-4.759320701401436e-11,1.0
0,0.46438261664023806,6.0,6,True,False,(d*(tanh(f)*a)),[mul d mul tanh f a],-2.8677794943068684,1.0
0,0.36824550118434374,10.0,10,True,False,tanh((sqrt_eu1*((b*sqrt_eu2)*(1.0*sqrt_eu2)))),[tanh mul sqrt_eu1 mul mul b sqrt_eu2 mul 1.0 sqrt_eu2],1.0,-6.556749853350777
0,0.4881533694326532,4.0,4,True,False,(f*tanh(a)),[mul f tanh a],-0.435085654005744,1.0
0,0.22508315925039754,6.0,6,True,False,(tanh(sqrt_eu1)*(sqrt_eu2*d)),[mul tanh sqrt_eu1 mul sqrt_eu2 d],1.0,1.0
0,0.4881533694326586,5.0,5,True,False,(f*(a*1.0)),[mul f mul a 1.0],-0.4095626344911899,1.0
0,0.29495639717734096,8.0,8,True,False,(1.0*tanh(((d*sqrt_eu2)*sqrt_eu1))),[mul 1.0 tanh mul mul d sqrt_eu2 sqrt_eu1],1.0,1.0
0,0.2905876184889774,4.0,4,True,False,tanh((sqrt_eu2*f)),[tanh mul sqrt_eu2 f],1.0,1.0
0,0.15478878769594528,6.0,6,True,False,(sqrt_eu2*tanh((f*f))),[mul sqrt_eu2 tanh mul f f],1.0,1.0
0,0.3176638250252294,4.0,4,True,False,tanh((1.0*sqrt_eu1)),[tanh mul 1.0 sqrt_eu1],1.0,1.0
0,0.29734225568013795,6.0,6,True,False,tanh((d*(d*d))),[tanh mul d mul d d],1.0,1.0
0,0.36553789030332573,5.0,5,True,False,(sqrt_eu2*(sqrt_eu2*b)),[mul sqrt_eu2 mul sqrt_eu2 b],1.0,-0.025057638989154668
0,0.2905876337044599,4.0,4,True,False,tanh((f*d)),[tanh mul f d],1.0,1.0
0,0.436406350140054,6.0,6,True,False,(a*(d*tanh(d))),[mul a mul d tanh d],-2.991478451232564,1.0
0,0.3069342052371879,6.0,6,True,False,(sqrt_eu2*tanh((sqrt_eu1*sqrt_eu1))),[mul sqrt_eu2 tanh mul sqrt_eu1 sqrt_eu1],1.0,1.0
0,0.2905878019992284,4.0,4,True,False,tanh((f*f)),[tanh mul f f],1.0,1.0
0,0.32590660396883486,5.0,5,True,False,(sqrt_eu1*(a*b)),[mul sqrt_eu1 mul a b],2.9142428607505187e-08,2.9142428607505187e-08
0,0.325906603968695,4.0,4,True,False,tanh((a*b)),[tanh mul a b],-1.9006324681922855e-06,-1.9006324681922855e-06
0,0.32590660396883464,8.0,8,True,False,tanh((a*(b*(sqrt_eu1*b)))),[tanh mul a mul b mul sqrt_eu1 b],0.6271334274129018,2.242802016399158e-07
0,0.36824550118434374,10.0,10,True,False,tanh(((((sqrt_eu2*1.0)*b)*sqrt_eu1)*sqrt_eu2)),[tanh mul mul mul mul sqrt_eu2 1.0 b sqrt_eu1 sqrt_eu2],1.0,-6.556749853350777
