materials,RL,RL_z_xy,zin/z0,x,y,r,theta,a_1,b_1,r_1,tehta_1,z_xy,z,r1,RL_r,RL_r1,theta_eu1,theta_eu2,theta1,d,f,e1,e2,u1,u2,tane,tanu,ac,C0,dm,e12,u12,sqrt_eu1,sqrt_eu2,tanh_eu,z1,z2,e_c,u_c,sqrt_eu1_c,sqrt_eu2_c,tanh_eu_c,zin/z0_c,z1_c,z2_c,z_c
sample300,-3.880487149,-3.880487149,0.510553908,0.264254419,0.436846535,0.510553908,1.026771701,-0.413226803,0.488321989,0.639698957,2.273090579,0.639698957,0.639698957,0.194867753,-9.788627281,-3.429052382,0.23252948,0.280139533,1.966404273,1,11.686,20.286,0.483,1.095,0.287,0.023809524,0.262100457,163.7938822,2.05E-11,1.360819378,20.29174919,1.131986749,0.236189686,4.792701868,2.161626602,0.855661414,1.337600139,(20.286-0.483j),(1.095-0.287j),(0.2345951375292974-0.027398708040814755j),(4.745763383935614-0.6691196427426188j),(0.8967152825566131+1.9668582231728509j),(0.26425441925038007+0.43684653514335914j),(-0.7357455807496199+0.43684653514335914j),(1.26425441925038+0.43684653514335914j),(-0.4132268030674707+0.48832198874796645j)
sample678,-4.739024415,-4.739024415,0.272641864,0.267087659,-0.054751882,0.272641864,-0.202194685,-0.575481063,-0.06807781,0.579493781,-3.023842673,0.579493781,0.579493781,0.164353149,-4.859158094,-2.88123882,-0.019044391,0.742471097,2.302948901,1,9.838,50.066,20.041,1.488,0.563,0.400291615,0.378360215,692.465891,2.58E-11,0.88265687,53.92815625,1.590947202,0.171759235,9.262658868,1.587349083,0.734954603,1.268270044,(50.066-20.041j),(1.488-0.563j),(0.17175144825746422+0.0016355003220640762j),(8.631685070412692-3.360187815403381j),(1.551906074662813-0.33356355949293265j),(0.2670876591918741-0.05475188154390179j),(-0.732912340808126-0.05475188154390179j),(1.267087659191874-0.05475188154390179j),(-0.5754810626925657-0.06807780968699459j)
sample183,-4.925257697,-4.925257697,0.621317307,0.355644881,0.509462379,0.621317307,0.96136093,-0.292737089,0.485821119,0.567201166,2.113097136,0.567201166,0.567201166,0.181932374,-12.63185124,-3.196068436,0.15751867,0.249118648,1.897877982,1,11.245,25.768,1.181,1.135,0.234,0.04583204,0.206167401,160.0021327,1.62E-11,1.232463002,25.79504962,1.158870571,0.211957742,5.46746046,2.931326324,0.821428898,1.448214403,(25.768-1.181j),(1.135-0.234j),(0.21130069083939065-0.016676397548735452j),(5.4251013760443625-0.6792635279171356j),(1.4835927279621337+2.528166654801672j),(0.35564488054762433+0.5094623785847952j),(-0.6443551194523757+0.5094623785847952j),(1.3556448805476244+0.5094623785847952j),(-0.29273708949864+0.48582111875398726j)
sample653,-7.613069024,-7.613069024,0.417789838,0.413825693,0.057416413,0.417789838,0.137865252,-0.412272381,0.057353332,0.416242622,3.003364662,0.416242622,0.416242622,0.139312867,-7.730641558,-2.435953831,0.075853501,0.490228505,2.098155255,1,8.83,53.548,11.256,1.224,0.356,0.210203929,0.290849673,374.8635867,2.69E-11,1.048452108,54.71824047,1.274720361,0.152630526,8.351673801,2.737262658,0.588979594,1.414991072,(53.548-11.256j),(1.224-0.356j),(0.15252076391501-0.005787392147150151j),(8.102038980112633-2.0266769933229485j),(2.695076885603697+0.47871436141369383j),(0.41382569313793544+0.05741641329619405j),(-0.5861743068620646+0.05741641329619405j),(1.4138256931379354+0.05741641329619405j),(-0.4122723805798848+0.05735333222740029j)
sample276,-3.271428699,-3.271428699,0.441579712,0.214969297,0.385721199,0.441579712,1.062352195,-0.495410107,0.474753873,0.686165005,2.377482761,0.686165005,0.686165005,0.193603648,-8.237549464,-3.406231664,0.242212001,0.300946036,1.992052037,1,10.72,20.255,0.595,1.142,0.318,0.029375463,0.278458844,164.9842207,2.27E-11,1.453709659,20.26373732,1.185448438,0.241869753,4.901185138,1.825692161,0.874673681,1.274727907,(20.255-0.595j),(1.142-0.318j),(0.2400982086157731-0.029220328544506232j),(4.845803120028503-0.7347161887953588j),(0.6896097257662271+1.6904408572695249j),(0.21496929703495798+0.3857211988469487j),(-0.7850307029650421+0.3857211988469487j),(1.214969297034958+0.3857211988469487j),(-0.4954101073748403+0.4747538730337737j)
sample111,-2.062726197,-2.062726197,0.334802119,0.129622282,0.30869163,0.334802119,1.173246,-0.647475804,0.450205347,0.788612561,2.534011967,0.788612561,0.788612561,0.171831711,-6.0493206,-3.014932982,0.180406252,0.290683709,1.950886835,1,8.368,25.093,1.385,1.25,0.3,0.055194676,0.24,144.2953062,2.29E-11,1.599258493,25.13119325,1.285496013,0.226166779,5.683841019,1.48033288,0.923497642,1.171041,(25.093-1.385j),(1.25-0.3j),(0.2252472875538038-0.020373295937056154j),(5.623913171714776-0.8231946082105684j),(0.44784690714437575+1.4109637070162313j),(0.12962228223311834+0.3086916302685183j),(-0.8703777177668817+0.3086916302685183j),(1.1296222822331183+0.3086916302685183j),(-0.6474758038207848+0.45020534713958893j)
sample351,-2.253449945,-2.253449945,0.322928026,0.140116782,0.290946382,0.322928026,1.12198513,-0.646953478,0.42028603,0.771485029,2.56547145,0.771485029,0.771485029,0.17723964,-5.818027589,-3.111830353,0.265172038,0.323246583,2.025832602,1,9.481,20.072,0.583,1.099,0.333,0.029045436,0.30300273,153.4674372,2.91E-11,1.683151933,20.08046496,1.148342283,0.239138112,4.802004476,1.350382937,0.907771417,1.176654611,(20.072-0.583j),(1.099-0.333j),(0.23703927848440917-0.0316135572069386j),(4.739421693887415-0.772741219614082j),(0.419943615550858+1.283425664767475j),(0.14011678230828928+0.2909463820509498j),(-0.8598832176917107+0.2909463820509498j),(1.1401167823082892+0.2909463820509498j),(-0.6469534782334667+0.4202860297592613j)
sample550,-7.981344285,-7.981344285,0.451353069,0.436571094,0.114565582,0.451353069,0.256634762,-0.383405586,0.110325668,0.398963151,2.861410221,0.398963151,0.398963151,0.140158709,-8.449602421,-2.450940243,-0.032267719,0.454677924,2.008544064,1,8.956,50.958,12.658,1.222,0.262,0.248400644,0.214402619,342.5238009,1.96E-11,1.060512427,52.506597,1.249771179,0.154279533,8.100693281,2.925553759,0.574958611,1.441132118,(50.958-12.658j),(1.222-0.262j),(0.1542594541747148+0.002489016290869478j),(7.892259234044942-1.8257808787934127j),(2.8413527735220754+0.6968351404886066j),(0.4365710939446009+0.11456558176293677j),(-0.5634289060553991+0.11456558176293677j),(1.4365710939446008+0.11456558176293677j),(-0.3834055857210602+0.11032566812063496j)
sample577,-4.327163707,-4.327163707,0.246457101,0.244334864,0.032273469,0.246457101,0.13132681,-0.606203906,0.041659021,0.607633647,3.072979393,0.607633647,0.607633647,0.147487406,-4.37138709,-2.580942477,0.172433027,0.996017919,2.652234433,1,10.048,40.926,17.875,0.98,0.648,0.436763915,0.66122449,728.2690894,6.71E-11,1.17782108,44.65930027,1.174863396,0.1621951,7.243519669,1.519510153,0.756354001,1.244753321,(40.926-17.875j),(0.98-0.648j),(0.16159265183212873-0.013966578074997366j),(6.363688285791123-3.460064825796643j),(1.4836962461297445+0.32795815919754645j),(0.2443348641612451+0.032273469173563385j),(-0.7556651358387549+0.032273469173563385j),(1.244334864161245+0.032273469173563385j),(-0.6062039057445612+0.04165902100110802j)
sample421,-4.508281146,-4.508281146,0.573006375,0.316778266,0.477480718,0.573006375,0.985033139,-0.342354935,0.486755147,0.595094509,2.18376117,0.595094509,0.595094509,0.196241523,-11.32618183,-3.453866143,0.218371975,0.272021461,1.951207449,1,12.274,20.424,0.548,1.079,0.27,0.026831179,0.250231696,166.1884437,1.89E-11,1.30078163,20.43135042,1.112268403,0.233322308,4.767089836,2.455857649,0.833534507,1.40067585,(20.424-0.548j),(1.079-0.27j),(0.23193290387937104-0.02542493867902483j),(4.723064762436168-0.6463781789062986j),(1.1266012930776195+2.182202172070115j),(0.3167782658278641+0.47748071782788415j),(-0.6832217341721358+0.47748071782788415j),(1.3167782658278642+0.47748071782788415j),(-0.34235493480966195+0.4867551466227709j)
