materials,RL,RL_z_xy,zin/z0,x,y,r,theta,a_1,b_1,r_1,tehta_1,z_xy,z,r1,RL_r,RL_r1,theta_eu1,theta_eu2,theta1,d,f,e1,e2,u1,u2,tane,tanu,ac,C0,dm,e12,u12,sqrt_eu1,sqrt_eu2,tanh_eu,z1,z2,e_c,u_c,sqrt_eu1_c,sqrt_eu2_c,tanh_eu_c,zin/z0_c,z1_c,z2_c,z_c
sample224,-2.034276228,-2.034276228,0.316017536,0.126492652,0.289597465,0.316017536,1.158983788,-0.6653593,0.428128698,0.791199836,2.569832332,0.791199836,0.791199836,0.181797904,-5.684334169,-3.193652556,0.251537599,0.309817953,2.005586752,1,8.641,20.104,0.586,1.221,0.352,0.029148428,0.288288288,141.1853715,2.73E-11,1.750687224,20.11253868,1.27072617,0.251357901,5.055445504,1.257241305,0.920261799,1.163121828,(20.104-0.586j),(1.221-0.352j),(0.24937255664427882-0.03152970602624542j),(4.994909471045201-0.7800055281451853j),(0.354741867696727+1.2061566678533882j),(0.12649265165531237+0.2895974651724646j),(-0.8735073483446876+0.2895974651724646j),(1.1264926516553124+0.2895974651724646j),(-0.665359300477165+0.42812869778678897j)
sample330,-2.034276228,-2.034276228,0.316017536,0.126492652,0.289597465,0.316017536,1.158983788,-0.6653593,0.428128698,0.791199836,2.569832332,0.791199836,0.791199836,0.181797904,-5.684334169,-3.193652556,0.251537599,0.309817953,2.005586752,1,8.641,20.104,0.586,1.221,0.352,0.029148428,0.288288288,141.1853715,2.73E-11,1.750687224,20.11253868,1.27072617,0.251357901,5.055445504,1.257241305,0.920261799,1.163121828,(20.104-0.586j),(1.221-0.352j),(0.24937255664427882-0.03152970602624542j),(4.994909471045201-0.7800055281451853j),(0.354741867696727+1.2061566678533882j),(0.12649265165531237+0.2895974651724646j),(-0.8735073483446876+0.2895974651724646j),(1.1264926516553124+0.2895974651724646j),(-0.665359300477165+0.42812869778678897j)
sample689,-5.359590213,-5.359590213,0.299767419,0.299203586,0.01837714,0.299767419,0.061343126,-0.539096677,0.02177041,0.539536076,3.101231456,0.539536076,0.539536076,0.132206931,-5.372466639,-2.310192638,0.044689158,0.656209623,2.248554202,1,10.279,49.62,15.663,1.004,0.367,0.315659008,0.365537849,517.4826142,3.54E-11,1.033059973,52.03339283,1.068973807,0.143331769,7.458038215,2.091423428,0.701037326,1.299333551,(49.62-15.663j),(1.004-0.367j),(0.14329598863723503-0.003202421554509238j),(7.060187427371323-2.40334922755976j),(2.084103921536408+0.1748221963679677j),(0.2992035862291535+0.018377140144115345j),(-0.7007964137708464+0.018377140144115345j),(1.2992035862291536+0.018377140144115345j),(-0.5390966768494895+0.021770410446524516j)
sample997,-1.544956549,-1.544956549,0.088718854,0.08870139,-0.00176023,0.088718854,-0.019841848,-0.837046218,-0.002970167,0.837051488,-3.138044278,0.837051488,0.837051488,0.087735652,-1.545267181,-1.528053209,-0.153399953,1.149814577,2.643114601,1,9.88,121.139,92.398,1.046,0.569,0.762743625,0.543977055,1515.750822,5.26E-11,0.673917693,152.3550056,1.190746405,0.088405905,13.46908219,1.003539909,0.91130031,1.088702813,(121.139-92.398j),(1.046-0.569j),(0.08814599179079505+0.006774084450231455j),(11.303829154577606-7.323907533269293j),(0.9988668819344112-0.0967331459902027j),(0.08870139047516186-0.001760230479587112j),(-0.9112986095248381-0.001760230479587112j),(1.088701390475162-0.001760230479587112j),(-0.8370462179247721-0.0029701668184607555j)
sample854,-1.666309829,-1.666309829,0.096623793,0.095645555,-0.013714416,0.096623793,-0.14241716,-0.825121892,-0.022845417,0.825438096,-3.113912401,0.825438096,0.825438096,0.109765315,-1.68378033,-1.914532717,-0.128843344,0.752515074,2.258093402,1,8.41,132.285,62.387,1.7,0.548,0.471610538,0.322352941,1046.240153,2.25E-11,0.594286521,146.2581929,1.786142212,0.110509068,16.16285656,0.874351717,0.904458428,1.095731385,(132.285-62.387j),(1.7-0.548j),(0.11027983240774591+0.007114255657456235j),(15.03220469776039-5.938918594775447j),(0.8557149130143152-0.17956311447951614j),(0.09564555509908391-0.013714415510332173j),(-0.9043544449009161-0.013714415510332173j),(1.095645555099084-0.013714415510332173j),(-0.825121891972623-0.02284541735876665j)
sample559,-7.70591803,-7.70591803,0.416635448,0.416620596,0.003517987,0.416635448,0.008443902,-0.411801912,0.003506021,0.411816837,3.133079007,0.411816837,0.411816837,0.140913905,-7.70636139,-2.464323661,-0.177308133,0.465069616,1.94641555,1,9.313,52.887,17.596,1.27,0.184,0.332709361,0.14488189,380.2026612,1.22E-11,0.98198693,55.73736615,1.283259911,0.151734414,8.457276603,2.74582039,0.583390012,1.416624964,(52.887-17.596j),(1.27-0.184j),(0.15113852305327055+0.013434258840511706j),(8.229652287275963-1.9489358043472058j),(2.7369922728484304-0.22000661977981575j),(0.4166205956032739+0.003517987062462445j),(-0.5833794043967261+0.003517987062462445j),(1.4166205956032738+0.003517987062462445j),(-0.4118019122921928+0.00350602050938599j)
sample623,-4.407887896,-4.407887896,0.248791765,0.248471741,0.012614929,0.248791765,0.05072652,-0.601795028,0.016185012,0.602012634,3.114704576,0.602012634,0.602012634,0.169038885,-4.414593718,-2.964965119,-0.237101058,0.971555683,2.423005154,1,11.875,35.258,24.346,1.253,0.482,0.690509955,0.384676776,880.8468944,2.59E-11,0.949584565,42.84687013,1.342509963,0.177010573,7.584349018,1.405519237,0.751634127,1.248535471,(35.258-24.346j),(1.253-0.482j),(0.17576815529800432+0.020935577600296264j),(6.706931191753849-3.541104913853967j),(1.4022877138100038-0.09525487918422622j),(0.2484717405684084+0.01261492885306566j),(-0.7515282594315916+0.01261492885306566j),(1.2484717405684085+0.01261492885306566j),(-0.6017950284661245+0.0161850121750411j)
sample500,-4.518932374,-4.518932374,0.255306321,0.254525966,0.019946184,0.255306321,0.078206175,-0.59382476,0.025340824,0.594365211,3.09894462,0.594365211,0.594365211,0.15763228,-4.535440966,-2.761378238,-0.103246176,0.945271334,2.463648246,1,11.203,38.035,21.993,1.13,0.506,0.578230577,0.447787611,787.9303088,3.54E-11,1.020484398,43.9357858,1.238117927,0.167869504,7.375478562,1.520861832,0.74574083,1.254684522,(38.035-21.993j),(1.13-0.506j),(0.16764587213063198+0.00866209363880152j),(6.566916171886748-3.357572934217173j),(1.520324497520311+0.040424440729980866j),(0.2545259660174581+0.019946183780455484j),(-0.7454740339825419+0.019946183780455484j),(1.2545259660174581+0.019946183780455484j),(-0.5938247604525624+0.025340823902392503j)
sample495,-4.545161389,-4.545161389,0.256787665,0.255947285,0.020757943,0.256787665,0.080925296,-0.591988646,0.026311941,0.592573097,3.097175189,0.592573097,0.592573097,0.156934251,-4.562980017,-2.748944649,-0.145412459,0.921117867,2.418411637,1,10.993,39.098,23.08,1.17,0.478,0.590311525,0.408547009,775.2750208,3.18E-11,1.008057273,45.40198238,1.263876576,0.166845664,7.575123896,1.539073052,0.744342216,1.256118814,(39.098-23.08j),(1.17-0.478j),(0.16640486878799757+0.012120034411517629j),(6.785827954090956-3.3667552662054674j),(1.5390210677154326+0.012649600823956874j),(0.25594728523787214+0.020757943466092735j),(-0.7440527147621279+0.020757943466092735j),(1.2559472852378721+0.020757943466092735j),(-0.5919886461211598+0.026311940559340972j)
sample635,-4.557099713,-4.557099713,0.257125186,0.256552257,0.017155199,0.257125186,0.066768847,-0.591360226,0.021726197,0.591759194,3.104869809,0.591759194,0.591759194,0.180084532,-4.569257859,-3.162880759,-0.03530615,1.134295382,2.686642307,1,12.358,29.83,19.749,1.112,0.681,0.662051626,0.612410072,949.8540607,4.46E-11,1.053038928,35.77501783,1.303957438,0.190915759,6.830014685,1.346799171,0.743645647,1.256669358,(29.83-19.749j),(1.112-0.681j),(0.19088601218935322+0.003370075183687098j),(5.760685358411043-3.6692785119981504j),(1.3451750162832228+0.06612248886319962j),(0.2565522567962512+0.017155199155223073j),(-0.7434477432037487+0.017155199155223073j),(1.2565522567962513+0.017155199155223073j),(-0.5913602255314521+0.021726196780942515j)
sample1024,-1.432292824,-1.432292824,0.082643718,0.08226821,0.007869284,0.082643718,0.095363868,-0.847873058,0.013436077,0.847979511,3.125747178,0.847979511,0.847979511,0.093323566,-1.438950415,-1.625927624,-0.280192225,0.858220766,2.288124654,1,10.951,128.202,82.03,1.278,0.38,0.639849612,0.297339593,1359.596509,2.12E-11,0.534693656,152.1994537,1.333298166,0.093595958,14.24525368,0.882983833,0.917765527,1.082296819,(128.202-82.03j),(1.278-0.38j),(0.09267895912277208+0.013069579172945349j),(12.95372549701433-5.9269088277110535j),(0.8821005666290401-0.03948467748433117j),(0.08226821047528657+0.007869284383512025j),(-0.9177317895247135+0.007869284383512025j),(1.0822682104752865+0.007869284383512025j),(-0.8478730580230363+0.013436076618962412j)
sample759,-7.613069024,-7.613069024,0.417789838,0.413825693,0.057416413,0.417789838,0.137865252,-0.412272381,0.057353332,0.416242622,3.003364662,0.416242622,0.416242622,0.139312867,-7.730641558,-2.435953831,0.075853501,0.490228505,2.098155255,1,8.83,53.548,11.256,1.224,0.356,0.210203929,0.290849673,374.8635867,2.69E-11,1.048452108,54.71824047,1.274720361,0.152630526,8.351673801,2.737262658,0.588979594,1.414991072,(53.548-11.256j),(1.224-0.356j),(0.15252076391501-0.005787392147150151j),(8.102038980112633-2.0266769933229485j),(2.695076885603697+0.47871436141369383j),(0.41382569313793544+0.05741641329619405j),(-0.5861743068620646+0.05741641329619405j),(1.4138256931379354+0.05741641329619405j),(-0.4122723805798848+0.05735333222740029j)
sample600,-4.571752063,-4.571752063,0.258186219,0.257374553,0.020456362,0.258186219,0.07931417,-0.590195035,0.025871054,0.590761789,3.097785943,0.590761789,0.590761789,0.155519104,-4.589000531,-2.723746018,-0.144912302,0.904444671,2.40198852,1,10.951,39.662,22.956,1.165,0.465,0.578790782,0.399141631,759.975786,3.13E-11,1.006856529,45.82632628,1.254372353,0.165445788,7.581772664,1.560548756,0.742907139,1.257540946,(39.662-22.956j),(1.165-0.465j),(0.1650116915898699+0.011977078811953196j),(6.819639533044617-3.312973492297366j),(1.560512057589104+0.010702188745579516j),(0.2573745534111003+0.020456362169370086j),(-0.7426254465888997+0.020456362169370086j),(1.2573745534111003+0.020456362169370086j),(-0.590195035294551+0.02587105447113656j)
sample582,-4.204527855,-4.204527855,0.242174984,0.237927356,0.045158566,0.242174984,0.187568721,-0.613456611,0.058857563,0.616273662,3.045941303,0.616273662,0.616273662,0.134176838,-4.292276834,-2.345031494,0.057936461,0.898329888,2.497298118,1,10.237,44.039,19.677,0.932,0.483,0.446808511,0.518240343,662.5552349,5.43E-11,1.14280532,48.23502721,1.049720439,0.147521583,7.11570755,1.641624093,0.763409464,1.238750756,(44.039-19.677j),(0.932-0.483j),(0.14745968992558256-0.004272841531909652j),(6.409900581809345-3.089735986889457j),(1.6032877972090605+0.3527008689150433j),(0.23792735635895917+0.045158566079177016j),(-0.7620726436410408+0.045158566079177016j),(1.2379273563589592+0.045158566079177016j),(-0.6134566108474043+0.0588575626853746j)
sample712,-4.262763841,-4.262763841,0.246516377,0.241233187,-0.050762913,0.246516377,-0.207404843,-0.608610252,-0.065787592,0.612155573,-3.033915956,0.612155573,0.612155573,0.13112916,-4.372483422,-2.291139524,-0.029865477,0.658768304,2.213835566,1,11.203,53.625,19.23,1.03,0.335,0.358601399,0.325242718,596.2627158,2.82E-11,0.900191766,56.96870654,1.083108951,0.137885276,7.855145829,1.787836843,0.760462984,1.242270783,(53.625-19.23j),(1.03-0.335j),(0.13786990306282768+0.0020589282157270805j),(7.432866741332566-2.5408282103298117j),(1.743828620594767-0.3942363751173976j),(0.2412331872759802-0.05076291287094118j),(-0.7587668127240198-0.05076291287094118j),(1.2412331872759803-0.05076291287094118j),(-0.6086102520340703-0.06578759165029653j)
sample775,-7.174326184,-7.174326184,0.401398542,0.393799199,-0.077736612,0.401398542,-0.194895904,-0.430477216,-0.079782262,0.437807998,-2.958337516,0.437807998,0.437807998,0.138001192,-7.388477823,-2.412721029,0.008551538,0.447902279,2.022178048,1,9.481,56.378,12.588,1.227,0.285,0.223278584,0.232273839,376.2386996,2.00E-11,0.950474296,57.76622394,1.259664241,0.147669366,8.530301673,2.71822486,0.611164783,1.395965324,(56.378-12.588j),(1.227-0.285j),(0.14766801627705053-0.0006313981449634973j),(8.317279381818755-1.894441953512264j),(2.668989458513387-0.5150161762643762j),(0.3937991985447116-0.07773661209258471j),(-0.6062008014552884-0.07773661209258471j),(1.3937991985447116-0.07773661209258471j),(-0.43047721605100153-0.07978226172575174j)
sample732,-3.731257445,-3.731257445,0.213696515,0.211730491,-0.028920581,0.213696515,-0.135751391,-0.649592364,-0.039371106,0.650784391,-3.081057763,0.650784391,0.650784391,0.144194393,-3.770398096,-2.522493747,-0.175048621,0.802634946,2.285110636,1,12.001,47.067,25.035,1.134,0.368,0.531901332,0.324514991,782.8856042,2.38E-11,0.854849014,53.31091552,1.192216423,0.149544168,7.972336485,1.428985957,0.78879986,1.212075568,(47.067-25.035j),(1.134-0.368j),(0.14897174122678328+0.013072045477773572j),(7.3389116028570704-3.114245577110151j),(1.3935147527314797-0.31641349480842634j),(0.2117304907335359-0.028920581047608723j),(-0.7882695092664641-0.028920581047608723j),(1.2117304907335358-0.028920581047608723j),(-0.6495923639970643-0.039371106053140134j)
sample164,-3.270222115,-3.270222115,0.458432955,0.217624742,0.403485125,0.458432955,1.076156776,-0.480025709,0.490437109,0.686260329,2.345466619,0.686260329,0.686260329,0.174516419,-8.604684794,-3.063013053,0.171882355,0.267763006,1.923704183,1,10.489,25.137,1.206,1.101,0.246,0.047977086,0.223433243,156.2693529,1.93E-11,1.358273319,25.16591355,1.128147597,0.211727179,5.328307883,2.165205983,0.880290458,1.282735459,(25.137-1.206j),(1.101-0.246j),(0.21094576369300008-0.018173692358151996j),(5.2806261889670125-0.7112326958206248j),(0.8604858581314913+1.9868772074947378j),(0.21762474161300743+0.4034851246349707j),(-0.7823752583869925+0.4034851246349707j),(1.2176247416130075+0.4034851246349707j),(-0.4800257094453286+0.49043710876589997j)
sample229,-2.264615537,-2.264615537,0.329021053,0.141287045,0.297141085,0.329021053,1.126949832,-0.641160907,0.427286312,0.770493933,2.55375667,0.770493933,0.770493933,0.184495495,-5.936459341,-3.242140976,0.266780888,0.325602043,2.028992487,1,8.83,20.157,0.593,1.219,0.372,0.02941906,0.305168171,151.9854995,2.84E-11,1.712364174,20.16572086,1.27449794,0.251398506,5.069632108,1.308762959,0.908669777,1.17933411,(20.157-0.593j),(1.219-0.372j),(0.2491652526663989-0.033434801190721605j),(5.002597160890504-0.82170028243255j),(0.3998178137009453+1.2461966929834778j),(0.14128704524576058+0.2971410847656589j),(-0.8587129547542394+0.2971410847656589j),(1.1412870452457606+0.2971410847656589j),(-0.6411609065946767+0.42728631161805947j)
sample437,-7.692451781,-7.692451781,0.452282776,0.427152966,0.148660866,0.452282776,0.334916266,-0.38634881,0.144410459,0.412455796,2.783889729,0.412455796,0.412455796,0.138876059,-8.469895763,-2.428215993,-0.019320943,0.446834715,2.007174244,1,8.683,51.754,12.286,1.23,0.267,0.237392279,0.217073171,329.7402001,2.03E-11,1.081875584,53.19231441,1.258645701,0.153825135,8.182314944,2.940239746,0.591822421,1.434874782,(51.754-12.286j),(1.23-0.267j),(0.1538179571989403+0.0014860001914308797j),(7.9789515552258745-1.8129009682388668j),(2.7860800889996873+0.9395570776504535j),(0.42715296588532486+0.1486608659015942j),(-0.5728470341146752+0.1486608659015942j),(1.4271529658853248+0.1486608659015942j),(-0.3863488101463611+0.14441045878368944j)
sample800,-5.820849393,-5.820849393,0.323158546,0.32308959,0.006675542,0.323158546,0.020658642,-0.511574956,0.00762653,0.511631801,3.126685816,0.511631801,0.511631801,0.131986652,-5.822498735,-2.306298045,0.028178253,0.592528401,2.176617528,1,10.489,49.736,14.419,1.004,0.322,0.289910729,0.320717131,473.9842175,3.05E-11,1.011195826,51.78394787,1.054371851,0.142691901,7.389149949,2.264729426,0.676943325,1.32310643,(49.736-14.419j),(1.004-0.322j),(0.14267773853928026-0.0020103377633366062j),(7.067232943780092-2.1572564709951916j),(2.263362337666967+0.07867845880096459j),(0.3230895901101904+0.0066755417939518375j),(-0.6769104098898096+0.0066755417939518375j),(1.3230895901101904+0.0066755417939518375j),(-0.5115749558705289+0.007626529501879195j)
sample213,-1.231025486,-1.231025486,0.325245844,0.077839333,0.315794074,0.325245844,1.329126145,-0.708871183,0.500678882,0.867858109,2.526648024,0.867858109,0.867858109,0.185423309,-5.863017647,-3.258829673,0.138295568,0.186444904,1.825592687,1,8.2,20.474,0.493,1.343,0.22,0.02407932,0.16381236,84.41324079,1.49E-11,1.743084452,20.47993469,1.36090007,0.257779772,5.279312886,1.261719807,0.974733909,1.123148933,(20.474-0.493j),(1.343-0.22j),(0.2571637409052421-0.017810698618631306j),(5.256389756874942-0.4914379677841418j),(0.21659672006063233+1.2429894334402372j),(0.07783933298374504+0.31579407370639484j),(-0.922160667016255+0.31579407370639484j),(1.077839332983745+0.31579407370639484j),(-0.7088711831399546+0.5006788821385232j)
sample936,-1.599427903,-1.599427903,0.091932594,0.091813222,-0.004683402,0.091932594,-0.050965931,-0.831781444,-0.007857543,0.831818557,-3.132146291,0.831818557,0.831818557,0.091566755,-1.601554854,-1.595145622,0.072937827,1.637842586,3.2443115,1,11.686,106.396,105.771,0.829,0.954,0.994125719,1.150784077,2462.028984,1.19E-10,0.682913722,150.0253754,1.263865895,0.091784244,13.7699657,1.001616293,0.908198854,1.091823266,(106.396-105.771j),(0.829-0.954j),(0.09172321533007273-0.0033465297631835047j),(9.405017418676735-10.057713589360796j),(1.001511042799679-0.014519940540042527j),(0.09181322162098372-0.004683402145620247j),(-0.9081867783790163-0.004683402145620247j),(1.0918132216209837-0.004683402145620247j),(-0.8317814442636843-0.007857542825534705j)
sample80,-5.884378011,-5.884378011,0.64354705,0.41708195,0.490097391,0.64354705,0.865711264,-0.260571473,0.435968287,0.507903376,2.109511489,0.507903376,0.507903376,0.184448495,-13.27559855,-3.241295731,0.156811031,0.279606051,1.928011566,1,11.35,25.848,1.589,1.15,0.255,0.061474776,0.22173913,182.9818595,1.70E-11,1.211193086,25.89679565,1.177932511,0.213273644,5.523103975,3.017471066,0.761570027,1.499438797,(25.848-1.589j),(1.15-0.255j),(0.21261843786641516-0.016704702539633513j),(5.4692176096356215-0.7696338490141806j),(1.76962154976941+2.4440890335846013j),(0.41708194981312774+0.49009739073057096j),(-0.5829180501868723+0.49009739073057096j),(1.4170819498131277+0.49009739073057096j),(-0.2605714726336061+0.4359682865543479j)
sample149,-4.239150747,-4.239150747,0.35555961,0.254947506,0.247839475,0.35555961,0.771261842,-0.533867837,0.302923427,0.613822018,2.625479074,0.613822018,0.613822018,0.176111814,-6.458717367,-3.091606748,0.36448949,0.529131146,2.281375891,1,9.88,24.01,1.981,1.054,0.505,0.082507289,0.479127135,287.1644563,4.60E-11,1.507989464,24.09158486,1.168734786,0.220254758,5.306286204,1.614310685,0.78519273,1.279186323,(24.01-1.981j),(1.054-0.505j),(0.21660719398624592-0.039918443487287125j),(5.12166029106145-1.387540679416517j),(0.9344069443674661+1.3163900066010026j),(0.25494750634643065+0.24783947471851758j),(-0.7450524936535694+0.24783947471851758j),(1.2549475063464306+0.24783947471851758j),(-0.5338678369440268+0.30292342673566336j)
sample303,-4.305597213,-4.305597213,0.556477435,0.300391066,0.46843606,0.556477435,1.000587116,-0.361345824,0.490393614,0.609144236,2.20582724,0.609144236,0.609144236,0.199348414,-10.90454216,-3.51003594,0.227406261,0.275878648,1.959581779,1,11.791,20.42,0.495,1.128,0.29,0.02424094,0.257092199,165.6471448,1.93E-11,1.324459184,20.42599875,1.164681931,0.238787736,4.877478003,2.330427196,0.841953088,1.382190026,(20.42-0.495j),(1.128-0.29j),(0.23724582661919308-0.027092447930792667j),(4.83114901783818-0.6706644709232868j),(1.0272864904739418+2.0917871259199625j),(0.30039106639850915+0.4684360600470956j),(-0.6996089336014908+0.4684360600470956j),(1.3003910663985092+0.4684360600470956j),(-0.3613458239729016+0.49039361359931605j)
sample888,-1.631802826,-1.631802826,0.094382813,0.093671454,-0.011566078,0.094382813,-0.122853122,-0.828498255,-0.019337208,0.82872389,-3.118256819,0.82872389,0.82872389,0.091045581,-1.644492156,-1.586015789,-0.033944736,1.055866252,2.608893884,1,9.754,119.396,72.368,1.031,0.578,0.606117458,0.560620757,1322.192179,5.57E-11,0.692571578,139.615659,1.181966582,0.092010107,12.84605166,1.025787454,0.906402343,1.09373261,(119.396-72.368j),(1.031-0.578j),(0.09199685457426035+0.0015615543942854096j),(11.097063017154037-6.471185023369971j),(1.0157761094346043-0.14296431543480187j),(0.09367145357465648-0.011566077689066409j),(-0.9063285464253436-0.011566077689066409j),(1.0936714535746566-0.011566077689066409j),(-0.8284982549453509-0.019337208447652545j)
sample810,-5.538127334,-5.538127334,0.31485611,0.309551151,-0.057553931,0.31485611,-0.183827984,-0.524296591,-0.066991855,0.528559196,-3.014506558,0.528559196,0.528559196,0.133151833,-5.6619288,-2.326901417,-0.049889521,0.539399919,2.084455159,1,10.888,51.895,15.749,1.053,0.263,0.303478177,0.249762583,466.2209481,2.18E-11,0.931207749,54.2321125,1.085346949,0.14146729,7.672069984,2.225646016,0.692843466,1.31081527,(51.895-15.749j),(1.053-0.263j),(0.14142327887201794+0.003528501681450133j),(7.394731430044528-2.0441636241965555j),(2.1773183643147114-0.46128616735675787j),(0.3095511512467934-0.0575539307763624j),(-0.6904488487532066-0.0575539307763624j),(1.3095511512467934-0.0575539307763624j),(-0.5242965908817805-0.06699185472116166j)
sample558,-7.826837616,-7.826837616,0.422566849,0.422415788,0.011297945,0.422566849,0.026739655,-0.405969934,0.011167319,0.406123499,3.114091839,0.406123499,0.406123499,0.139471145,-7.831419405,-2.438757882,-0.169918617,0.45772431,1.942765001,1,9.271,53.336,17.31,1.256,0.182,0.324546273,0.144904459,371.6763322,1.24E-11,0.987734027,56.07463773,1.269117804,0.150441526,8.435954071,2.808844474,0.577694699,1.422460656,(53.336-17.31j),(1.256-0.182j),(0.14989890273821865+0.012766037363210993j),(8.215987983202814-1.9138606375943434j),(2.804085489541754-0.16343758543121317j),(0.42241578838863747+0.011297945406805093j),(-0.5775842116113625+0.011297945406805093j),(1.4224157883886375+0.011297945406805093j),(-0.4059699340792405+0.011167319491603236j)
sample425,-5.978668916,-5.978668916,0.419845369,0.35105868,0.230277957,0.419845369,0.580548656,-0.438530318,0.245186851,0.502419578,2.63178183,0.502419578,0.502419578,0.138298262,-7.773945728,-2.417982075,0.065077268,0.441472385,2.044011019,1,8.2,49.892,9.502,1.217,0.315,0.190451375,0.258833196,300.5056142,2.59E-11,1.172997371,50.78877502,1.257105405,0.157326535,7.990421992,2.668624014,0.688587521,1.370542773,(49.892-9.502j),(1.217-0.315j),(0.15724325663346664-0.005118287234940745j),(7.796546594650511-1.749487011256864j),(2.1826022174276796+1.5355134932294443j),(0.3510586797152295+0.23027795721161487j),(-0.6489413202847705+0.23027795721161487j),(1.3510586797152295+0.23027795721161487j),(-0.438530318488935+0.2451868509504174j)
sample44,-3.814903915,-3.814903915,0.333013601,0.229393199,0.241405921,0.333013601,0.810908229,-0.56642081,0.307585286,0.644547316,2.64411399,0.644547316,0.644547316,0.169591073,-6.014352054,-2.974840713,0.369054617,0.515349565,2.269876874,1,9.922,23.827,1.746,0.999,0.473,0.073278214,0.473473473,272.171402,4.78E-11,1.548299551,23.89088623,1.105318958,0.215093695,5.138778988,1.54822577,0.807534309,1.252870487,(23.827-1.746j),(0.999-0.473j),(0.21144206851293273-0.03946579705342088j),(4.969122884802376-1.3095293980154397j),(0.8424477415979843+1.2989552872498717j),(0.2293931988455979+0.24140592124390478j),(-0.770606801154402+0.24140592124390478j),(1.229393198845598+0.24140592124390478j),(-0.5664208102536835+0.3075852860663222j)
sample533,-6.279482201,-6.279482201,0.428214923,0.366095355,0.222131068,0.428214923,0.545373373,-0.426315292,0.231923005,0.485317431,2.643354087,0.485317431,0.485317431,0.139320951,-7.951215,-2.436097049,0.060516234,0.443652492,2.043910608,1,8.284,49.756,9.65,1.223,0.315,0.193946459,0.257563369,305.4445045,2.54E-11,1.159833341,50.68315337,1.262914882,0.157853867,8.000531775,2.712730007,0.671697336,1.384037113,(49.756-9.65j),(1.223-0.315j),(0.1577816111237669-0.004775631957511977j),(7.804496994684156-1.7602088910223166j),(2.2755700636847003+1.4767142500864787j),(0.3660953546380112+0.22213106843037964j),(-0.6339046453619888+0.22213106843037964j),(1.3660953546380112+0.22213106843037964j),(-0.426315292328678+0.23192300502881955j)
sample134,-2.915871825,-2.915871825,0.393951223,0.186931221,0.346776995,0.393951223,1.076396459,-0.552497893,0.45358193,0.714835988,2.454197724,0.714835988,0.714835988,0.178107937,-7.23479996,-3.127405906,0.193207776,0.319977309,1.986581197,1,9.271,24.941,1.583,1.212,0.318,0.063469789,0.262376238,173.1260897,2.34E-11,1.470404472,24.99118585,1.253023543,0.223916545,5.595939978,1.759366302,0.883931628,1.23655166,(24.941-1.583j),(1.212-0.318j),(0.22287252738806043-0.021597579645495902j),(5.524474737006796-0.8914724447936129j),(0.6815562682028801+1.6219897776059355j),(0.18693122145757504+0.3467769953472342j),(-0.813068778542425+0.3467769953472342j),(1.1869312214575751+0.3467769953472342j),(-0.5524978934671336+0.4535819304831441j)
sample838,-3.731257445,-3.731257445,0.213696515,0.211730491,-0.028920581,0.213696515,-0.135751391,-0.649592364,-0.039371106,0.650784391,-3.081057763,0.650784391,0.650784391,0.144194393,-3.770398096,-2.522493747,-0.175048621,0.802634946,2.285110636,1,12.001,47.067,25.035,1.134,0.368,0.531901332,0.324514991,782.8856042,2.38E-11,0.854849014,53.31091552,1.192216423,0.149544168,7.972336485,1.428985957,0.78879986,1.212075568,(47.067-25.035j),(1.134-0.368j),(0.14897174122678328+0.013072045477773572j),(7.3389116028570704-3.114245577110151j),(1.3935147527314797-0.31641349480842634j),(0.2117304907335359-0.028920581047608723j),(-0.7882695092664641-0.028920581047608723j),(1.2117304907335358-0.028920581047608723j),(-0.6495923639970643-0.039371106053140134j)
sample312,-4.092692888,-4.092692888,0.515146577,0.277850785,0.433791352,0.515146577,1.001116371,-0.403400722,0.476411725,0.624259781,2.273399462,0.624259781,0.624259781,0.191033489,-9.896883659,-3.359868599,0.23484604,0.284919377,1.972342397,1,12.169,20.286,0.508,1.038,0.276,0.025041901,0.265895954,168.9611617,2.11E-11,1.34220811,20.29235965,1.074067037,0.230064399,4.668549518,2.23914078,0.842421763,1.349473069,(20.286-0.508j),(1.038-0.276j),(0.22848013715153123-0.026952818410105703j),(4.621256030503629-0.6628327839403823j),(0.9784970784469296+2.0140245533376935j),(0.2778507847455322+0.4337913521029486j),(-0.7221492152544677+0.4337913521029486j),(1.2778507847455323+0.4337913521029486j),(-0.4034007217932865+0.4764117249966671j)
sample409,-4.305597213,-4.305597213,0.556477435,0.300391066,0.46843606,0.556477435,1.000587116,-0.361345824,0.490393614,0.609144236,2.20582724,0.609144236,0.609144236,0.199348414,-10.90454216,-3.51003594,0.227406261,0.275878648,1.959581779,1,11.791,20.42,0.495,1.128,0.29,0.02424094,0.257092199,165.6471448,1.93E-11,1.324459184,20.42599875,1.164681931,0.238787736,4.877478003,2.330427196,0.841953088,1.382190026,(20.42-0.495j),(1.128-0.29j),(0.23724582661919308-0.027092447930792667j),(4.83114901783818-0.6706644709232868j),(1.0272864904739418+2.0917871259199625j),(0.30039106639850915+0.4684360600470956j),(-0.6996089336014908+0.4684360600470956j),(1.3003910663985092+0.4684360600470956j),(-0.3613458239729016+0.49039361359931605j)
