complexity,length,reward,rmse,r2,expression,expression_prefix,a,b
4,4,0.5288966635065622,0.10576208671189152,0.2066027232776655,(b/exp(u2)),[div b exp u2],1.0,0.36180748962084847
5,5,0.5435575496683391,0.09970688632070082,0.2948508416404567,((a*e2)-b),[sub mul a e2 b],-0.0020065501857766937,-0.28858186226852345
6,6,0.5572529729611517,0.0943382721708002,0.36874254645373616,(tanh((a/e2))*b),[mul tanh div a e2 b],32.25505207908739,0.2827181079766184
7,7,0.6178033767069339,0.07345497686624897,0.6172870691479355,(a/((b/e2)-e2)),[div a sub div b e2 e2],-5.661181086658214,-26.71617661113239
8,8,0.617803376871699,0.07345497681499243,0.617287069682046,(cosh(a)/((b/e2)+e2)),[div cosh a add div b e2 e2],2.418891443206937,26.71650434255041
9,9,0.6178033768793451,0.0734549768126138,0.617287069706832,(e2/(((e2*e2)/b)+a)),[div e2 add div mul e2 e2 b a],4.71930826338539,5.66116929980886
10,10,0.6210320232763576,0.07245580340066934,0.6276279838457355,tanh(((a*e2)/((e2*e2)+b))),[tanh div mul a e2 add mul e2 e2 b],5.927825787773809,26.747714194719908
11,11,0.621351943564487,0.07235736268001337,0.628639129027269,tanh((log(b)/(e2+((a+u2)/e2)))),[tanh div log b add e2 div add a u2 e2],26.40712420194305,375.20732188893606
12,12,0.6303161375612846,0.06963967329831074,0.6560113337908144,(b/(e2+(b+((sinh(a)-b)/e2)))),[div b add e2 add b div sub sinh a b e2],4.24699701915102,8.371571291845038
13,13,0.630316138305293,0.06963967307595638,0.6560113359874755,(b/(((b/(b*(a*e2)))+b)+e2)),[div b add add div b mul b mul a e2 b e2],0.037632354122512056,8.372205825712431
14,14,0.6471685162250729,0.06473432262542776,0.7027650326522945,((((e2/b)/tanh(e2))/((e2*e2)-a))*a),[mul div div div e2 b tanh e2 sub mul e2 e2 a a],-33.83452560470095,-5.748373959191104
16,16,0.6473456417325975,0.06468412164996182,0.7032258608173008,((b/(((e2*b)+((tanh(e2)/b)/e2))/a))/b),[div div b div add mul e2 b div div tanh e2 b e2 a b],1.0147553369032782,0.17265972713598268
